Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,136.508,-14.9923,-205.625
LEFTLUNG,OBLIQUEFISSURE,136.508,-2.37514,-193.125
LEFTLUNG,OBLIQUEFISSURE,136.508,11.5702,-183.125
LEFTLUNG,OBLIQUEFISSURE,112.601,35.4764,-125.625
LEFTLUNG,OBLIQUEFISSURE,112.601,26.8436,-149.375
LEFTLUNG,OBLIQUEFISSURE,112.601,20.203,-161.25
LEFTLUNG,OBLIQUEFISSURE,112.601,9.57798,-170
LEFTLUNG,OBLIQUEFISSURE,112.601,1.60924,-178.125
LEFTLUNG,OBLIQUEFISSURE,97.992,-8.35169,-199.375
LEFTLUNG,OBLIQUEFISSURE,97.992,12.2342,-167.5
LEFTLUNG,OBLIQUEFISSURE,97.992,26.1795,-133.75
LEFTLUNG,OBLIQUEFISSURE,97.992,29.4998,-100.625
LEFTLUNG,OBLIQUEFISSURE,83.3826,12.2342,-160
LEFTLUNG,OBLIQUEFISSURE,83.3826,17.5467,-142.5
LEFTLUNG,OBLIQUEFISSURE,83.3826,28.8358,-118.125
LEFTLUNG,OBLIQUEFISSURE,71.4295,16.2186,-127.5
LEFTLUNG,OBLIQUEFISSURE,71.4295,29.4998,-108.75
LEFTLUNG,OBLIQUEFISSURE,71.4295,38.7967,-90.625
LEFTLUNG,OBLIQUEFISSURE,63.4608,11.5702,-116.875
LEFTLUNG,OBLIQUEFISSURE,63.4608,32.8202,-105
LEFTLUNG,OBLIQUEFISSURE,63.4608,38.7967,-98.75
LEFTLUNG,OBLIQUEFISSURE,55.492,21.5311,-109.375
LEFTLUNG,OBLIQUEFISSURE,55.492,28.1717,-101.25
LEFTLUNG,OBLIQUEFISSURE,55.492,34.1483,-95
RIGHTLUNG,OBLIQUEFISSURE,-105.875,-13.0001,-177.5
RIGHTLUNG,OBLIQUEFISSURE,-105.875,0.281112,-168.75
RIGHTLUNG,OBLIQUEFISSURE,-105.875,14.2264,-163.125
