Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,140.802,-249.065,-268
LEFTLUNG,OBLIQUEFISSURE,140.802,-212.11,-239.5
LEFTLUNG,OBLIQUEFISSURE,140.802,-170.274,-214
LEFTLUNG,OBLIQUEFISSURE,130.343,-251.157,-265.5
LEFTLUNG,OBLIQUEFISSURE,130.343,-230.239,-254.5
LEFTLUNG,OBLIQUEFISSURE,130.343,-209.321,-238
LEFTLUNG,OBLIQUEFISSURE,130.343,-175.852,-216
LEFTLUNG,OBLIQUEFISSURE,130.343,-143.081,-200
LEFTLUNG,OBLIQUEFISSURE,120.582,-242.79,-258
LEFTLUNG,OBLIQUEFISSURE,120.582,-217.688,-247
LEFTLUNG,OBLIQUEFISSURE,120.582,-206.532,-238.5
LEFTLUNG,OBLIQUEFISSURE,120.582,-176.549,-215
LEFTLUNG,OBLIQUEFISSURE,120.582,-152.145,-203
LEFTLUNG,OBLIQUEFISSURE,120.582,-129.135,-187.5
LEFTLUNG,OBLIQUEFISSURE,112.214,-234.422,-255.5
LEFTLUNG,OBLIQUEFISSURE,112.214,-219.083,-250.5
LEFTLUNG,OBLIQUEFISSURE,112.214,-209.321,-244.5
LEFTLUNG,OBLIQUEFISSURE,112.214,-193.981,-230
LEFTLUNG,OBLIQUEFISSURE,112.214,-170.274,-214
LEFTLUNG,OBLIQUEFISSURE,112.214,-142.383,-195.5
LEFTLUNG,OBLIQUEFISSURE,112.214,-119.374,-177.5
LEFTLUNG,OBLIQUEFISSURE,99.6636,-223.266,-254
LEFTLUNG,OBLIQUEFISSURE,99.6636,-209.321,-249
LEFTLUNG,OBLIQUEFISSURE,99.6636,-196.77,-243.5
LEFTLUNG,OBLIQUEFISSURE,99.6636,-174.458,-215
LEFTLUNG,OBLIQUEFISSURE,99.6636,-164.696,-207.5
LEFTLUNG,OBLIQUEFISSURE,99.6636,-144.475,-192.5
LEFTLUNG,OBLIQUEFISSURE,99.6636,-107.52,-168.5
LEFTLUNG,OBLIQUEFISSURE,89.2046,-216.991,-254.5
LEFTLUNG,OBLIQUEFISSURE,89.2046,-204.44,-249.5
LEFTLUNG,OBLIQUEFISSURE,89.2046,-158.42,-201.5
LEFTLUNG,OBLIQUEFISSURE,89.2046,-145.172,-189.5
LEFTLUNG,OBLIQUEFISSURE,89.2046,-127.741,-178
LEFTLUNG,OBLIQUEFISSURE,89.2046,-113.795,-171.5
LEFTLUNG,OBLIQUEFISSURE,89.2046,-101.245,-159
LEFTLUNG,OBLIQUEFISSURE,80.8374,-207.229,-254.5
LEFTLUNG,OBLIQUEFISSURE,80.8374,-157.723,-198.5
LEFTLUNG,OBLIQUEFISSURE,80.8374,-138.2,-183
LEFTLUNG,OBLIQUEFISSURE,80.8374,-121.465,-174
LEFTLUNG,OBLIQUEFISSURE,80.8374,-109.612,-167
LEFTLUNG,OBLIQUEFISSURE,80.8374,-101.245,-157
LEFTLUNG,OBLIQUEFISSURE,66.1948,-148.659,-188.5
LEFTLUNG,OBLIQUEFISSURE,66.1948,-134.016,-178
LEFTLUNG,OBLIQUEFISSURE,66.1948,-121.465,-172
