Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-114.531,-25.2656,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-114.531,-6.98438,-122.375
RIGHTLUNG,OBLIQUEFISSURE,-106.797,-37.9219,-148
RIGHTLUNG,OBLIQUEFISSURE,-106.797,-13.3125,-125.5
RIGHTLUNG,OBLIQUEFISSURE,-106.797,19.7344,-107.375
RIGHTLUNG,OBLIQUEFISSURE,-106.797,30.2813,-103.625
RIGHTLUNG,OBLIQUEFISSURE,-100.469,-32.2969,-138.625
RIGHTLUNG,OBLIQUEFISSURE,-100.469,-15.4219,-124.875
RIGHTLUNG,OBLIQUEFISSURE,-96.25,1.45313,-114.875
RIGHTLUNG,OBLIQUEFISSURE,-96.25,40.125,-98.625
RIGHTLUNG,OBLIQUEFISSURE,-96.25,54.8906,-96.75
RIGHTLUNG,OBLIQUEFISSURE,-92.7344,-16.125,-123.625
RIGHTLUNG,OBLIQUEFISSURE,-92.7344,23.25,-101.75
RIGHTLUNG,OBLIQUEFISSURE,-87.1094,-21.75,-128.625
RIGHTLUNG,OBLIQUEFISSURE,-82.8906,-15.4219,-123.625
RIGHTLUNG,OBLIQUEFISSURE,-82.8906,21.1406,-104.875
RIGHTLUNG,OBLIQUEFISSURE,-82.8906,55.5938,-91.75
RIGHTLUNG,OBLIQUEFISSURE,-74.4531,-11.9063,-124.875
RIGHTLUNG,OBLIQUEFISSURE,-74.4531,26.0625,-101.75
RIGHTLUNG,OBLIQUEFISSURE,-74.4531,66.1406,-83
RIGHTLUNG,OBLIQUEFISSURE,-66.0156,-15.4219,-131.125
RIGHTLUNG,OBLIQUEFISSURE,-66.0156,12.7031,-109.875
RIGHTLUNG,OBLIQUEFISSURE,-66.0156,57,-88
RIGHTLUNG,OBLIQUEFISSURE,-66.0156,71.0625,-81.125
RIGHTLUNG,OBLIQUEFISSURE,-58.2813,-9.79688,-134.875
RIGHTLUNG,OBLIQUEFISSURE,-58.2813,25.3594,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-58.2813,57.7031,-86.125
RIGHTLUNG,OBLIQUEFISSURE,-58.2813,77.3906,-71.75
RIGHTLUNG,OBLIQUEFISSURE,-51.25,-9.09375,-139.25
RIGHTLUNG,OBLIQUEFISSURE,-51.25,22.5469,-109.25
RIGHTLUNG,OBLIQUEFISSURE,-51.25,51.375,-90.5
RIGHTLUNG,OBLIQUEFISSURE,-51.25,79.5,-66.75
RIGHTLUNG,OBLIQUEFISSURE,-45.625,-9.09375,-141.125
RIGHTLUNG,OBLIQUEFISSURE,-45.625,4.96875,-133
RIGHTLUNG,OBLIQUEFISSURE,-45.625,44.3438,-91.75
RIGHTLUNG,OBLIQUEFISSURE,-45.625,73.875,-71.75
RIGHTLUNG,OBLIQUEFISSURE,-41.4063,0.75,-134.875
RIGHTLUNG,OBLIQUEFISSURE,-41.4063,13.4063,-130.5
RIGHTLUNG,OBLIQUEFISSURE,-41.4063,47.1563,-88.625
RIGHTLUNG,OBLIQUEFISSURE,-41.4063,73.875,-68.625
RIGHTLUNG,OBLIQUEFISSURE,-37.8906,46.4531,-89.25
RIGHTLUNG,OBLIQUEFISSURE,-37.8906,68.9531,-72.375
RIGHTLUNG,OBLIQUEFISSURE,-30.1563,48.5625,-85.5
RIGHTLUNG,OBLIQUEFISSURE,-30.1563,69.6563,-69.25
RIGHTLUNG,OBLIQUEFISSURE,-25.9375,52.0781,-81.75
RIGHTLUNG,OBLIQUEFISSURE,-25.9375,68.9531,-65.5
RIGHTLUNG,OBLIQUEFISSURE,-18.2031,50.6719,-78.625
RIGHTLUNG,OBLIQUEFISSURE,-18.2031,64.0313,-67.375
RIGHTLUNG,OBLIQUEFISSURE,-13.9844,54.8906,-73
RIGHTLUNG,OBLIQUEFISSURE,-13.9844,63.3281,-63
