Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-91.342,-181.795,932
RIGHTLUNG,OBLIQUEFISSURE,-91.342,-135.916,992
RIGHTLUNG,OBLIQUEFISSURE,-91.342,-115.526,1021
RIGHTLUNG,OBLIQUEFISSURE,-91.342,-88.3382,1037
RIGHTLUNG,OBLIQUEFISSURE,-91.342,-70.7796,1054
RIGHTLUNG,OBLIQUEFISSURE,-65.2873,-164.803,949.5
RIGHTLUNG,OBLIQUEFISSURE,-65.2873,-136.483,988
RIGHTLUNG,OBLIQUEFISSURE,-65.2873,-121.756,1024
RIGHTLUNG,OBLIQUEFISSURE,-65.2873,-75.3108,1063.5
RIGHTLUNG,OBLIQUEFISSURE,-54.5256,-172.166,942.5
RIGHTLUNG,OBLIQUEFISSURE,-54.5256,-141.58,980
RIGHTLUNG,OBLIQUEFISSURE,-54.5256,-126.854,997.5
RIGHTLUNG,OBLIQUEFISSURE,-54.5256,-118.358,1030.5
RIGHTLUNG,OBLIQUEFISSURE,-54.5256,-88.3382,1054.5
RIGHTLUNG,OBLIQUEFISSURE,-54.5256,-68.514,1076
RIGHTLUNG,OBLIQUEFISSURE,-44.8967,-180.662,920
RIGHTLUNG,OBLIQUEFISSURE,-44.8967,-136.483,982
RIGHTLUNG,OBLIQUEFISSURE,-44.8967,-114.959,1035.5
RIGHTLUNG,OBLIQUEFISSURE,-44.8967,-121.756,1015.5
RIGHTLUNG,OBLIQUEFISSURE,-44.8967,-88.9046,1058
RIGHTLUNG,OBLIQUEFISSURE,-35.8342,-101.366,1051.5
RIGHTLUNG,OBLIQUEFISSURE,-35.8342,-83.2405,1069.5
RIGHTLUNG,OBLIQUEFISSURE,-35.8342,-176.131,928.5
RIGHTLUNG,OBLIQUEFISSURE,-35.8342,-146.678,967
RIGHTLUNG,OBLIQUEFISSURE,-35.8342,-141.014,986
RIGHTLUNG,OBLIQUEFISSURE,-29.0374,-98.5335,1056
RIGHTLUNG,OBLIQUEFISSURE,-29.0374,-89.471,1070
RIGHTLUNG,OBLIQUEFISSURE,-29.0374,-181.229,918.5
RIGHTLUNG,OBLIQUEFISSURE,-29.0374,-153.475,956
RIGHTLUNG,OBLIQUEFISSURE,-22.8069,-176.698,934
RIGHTLUNG,OBLIQUEFISSURE,-22.8069,-163.67,940.5
RIGHTLUNG,OBLIQUEFISSURE,-22.8069,-154.041,957
RIGHTLUNG,OBLIQUEFISSURE,-22.8069,-150.643,968
RIGHTLUNG,OBLIQUEFISSURE,-22.8069,-98.5335,1060.5
RIGHTLUNG,OBLIQUEFISSURE,-22.8069,-106.463,1048
LEFTLUNG,OBLIQUEFISSURE,110.865,-163.104,904.5
LEFTLUNG,OBLIQUEFISSURE,110.865,-143.846,951.5
LEFTLUNG,OBLIQUEFISSURE,110.865,-114.393,989
LEFTLUNG,OBLIQUEFISSURE,110.865,-94.5686,1007
LEFTLUNG,OBLIQUEFISSURE,96.7048,-171.033,893.5
LEFTLUNG,OBLIQUEFISSURE,96.7048,-155.74,915
LEFTLUNG,OBLIQUEFISSURE,96.7048,-131.951,969
LEFTLUNG,OBLIQUEFISSURE,96.7048,-103.631,1007.5
LEFTLUNG,OBLIQUEFISSURE,96.7048,-77.5765,1036.5
LEFTLUNG,OBLIQUEFISSURE,84.2438,-164.803,903
LEFTLUNG,OBLIQUEFISSURE,84.2438,-148.377,917.5
LEFTLUNG,OBLIQUEFISSURE,84.2438,-130.819,961.5
LEFTLUNG,OBLIQUEFISSURE,84.2438,-91.7366,1024
LEFTLUNG,OBLIQUEFISSURE,84.2438,-66.2483,1057.5
LEFTLUNG,OBLIQUEFISSURE,75.7477,-164.803,903.5
LEFTLUNG,OBLIQUEFISSURE,75.7477,-141.58,923
UNDEFINEDREGION,UNDEFINEDTYPE,75.7477,-139.315,935
LEFTLUNG,OBLIQUEFISSURE,75.7477,-129.686,947
LEFTLUNG,OBLIQUEFISSURE,75.7477,-124.022,971.5
LEFTLUNG,OBLIQUEFISSURE,75.7477,-117.225,985.5
LEFTLUNG,OBLIQUEFISSURE,75.7477,-98.5335,1022
LEFTLUNG,OBLIQUEFISSURE,75.7477,-81.5413,1041.5
LEFTLUNG,OBLIQUEFISSURE,75.7477,-70.2132,1058
LEFTLUNG,OBLIQUEFISSURE,75.7477,-65.1155,1070
LEFTLUNG,OBLIQUEFISSURE,67.8181,-123.455,955
LEFTLUNG,OBLIQUEFISSURE,67.8181,-118.924,974
LEFTLUNG,OBLIQUEFISSURE,67.8181,-101.932,1021
LEFTLUNG,OBLIQUEFISSURE,67.8181,-77.5765,1053.5
LEFTLUNG,OBLIQUEFISSURE,67.8181,-63.9827,1080.5
LEFTLUNG,OBLIQUEFISSURE,56.4899,-100.799,1024
LEFTLUNG,OBLIQUEFISSURE,56.4899,-85.5061,1050.5
LEFTLUNG,OBLIQUEFISSURE,56.4899,-74.178,1065
LEFTLUNG,OBLIQUEFISSURE,56.4899,-63.4163,1084.5
LEFTLUNG,OBLIQUEFISSURE,75.1813,-131.951,945.5
LEFTLUNG,OBLIQUEFISSURE,75.1813,-126.854,953
LEFTLUNG,OBLIQUEFISSURE,75.1813,-125.155,968
LEFTLUNG,OBLIQUEFISSURE,75.1813,-112.127,999
LEFTLUNG,OBLIQUEFISSURE,55.9235,-96.8343,1030
LEFTLUNG,OBLIQUEFISSURE,55.9235,-83.8069,1053.5
LEFTLUNG,OBLIQUEFISSURE,55.9235,-69.0804,1073
LEFTLUNG,OBLIQUEFISSURE,55.9235,-65.1155,1086.5
LEFTLUNG,OBLIQUEFISSURE,47.4274,-93.4358,1045.5
LEFTLUNG,OBLIQUEFISSURE,47.4274,-74.178,1070
LEFTLUNG,OBLIQUEFISSURE,37.7985,-94.0022,1055
LEFTLUNG,OBLIQUEFISSURE,37.7985,-79.2757,1070
LEFTLUNG,OBLIQUEFISSURE,37.7985,-69.6468,1086.5
LEFTLUNG,OBLIQUEFISSURE,31.0017,-105.33,1057
LEFTLUNG,OBLIQUEFISSURE,31.0017,-90.6038,1062.5
LEFTLUNG,OBLIQUEFISSURE,31.0017,-78.7093,1077
LEFTLUNG,OBLIQUEFISSURE,31.0017,-71.9124,1087.5
LEFTLUNG,OBLIQUEFISSURE,19.6736,-88.3382,1072.5
LEFTLUNG,OBLIQUEFISSURE,19.6736,-79.8421,1081.5
RIGHTLUNG,OBLIQUEFISSURE,-74.9163,-113.826,1027.5
RIGHTLUNG,OBLIQUEFISSURE,-74.9163,-102.498,1035.5
RIGHTLUNG,OBLIQUEFISSURE,-74.9163,-89.471,1045
RIGHTLUNG,OBLIQUEFISSURE,-47.7288,-112.694,1036
RIGHTLUNG,OBLIQUEFISSURE,-47.7288,-95.1351,1051.5
RIGHTLUNG,OBLIQUEFISSURE,-59.6233,-115.526,1032
RIGHTLUNG,OBLIQUEFISSURE,-59.6233,-103.065,1039
RIGHTLUNG,OBLIQUEFISSURE,-59.6233,-90.0374,1049.5
RIGHTLUNG,OBLIQUEFISSURE,-59.6233,-163.67,954
RIGHTLUNG,OBLIQUEFISSURE,-59.6233,-153.475,966.5
RIGHTLUNG,HORIZONTALFISSURE,-96.4397,-185.194,990.5
RIGHTLUNG,HORIZONTALFISSURE,-96.4397,-159.705,1011
RIGHTLUNG,HORIZONTALFISSURE,-96.4397,-118.924,1017.5
RIGHTLUNG,HORIZONTALFISSURE,-80.5803,-191.99,986.5
RIGHTLUNG,HORIZONTALFISSURE,-80.5803,-173.865,1005
RIGHTLUNG,HORIZONTALFISSURE,-80.5803,-122.889,1022.5
RIGHTLUNG,HORIZONTALFISSURE,-65.8538,-191.99,992
RIGHTLUNG,HORIZONTALFISSURE,-65.8538,-143.846,1021.5
RIGHTLUNG,HORIZONTALFISSURE,-63.0217,-204.451,979
RIGHTLUNG,HORIZONTALFISSURE,-63.0217,-182.928,1001
RIGHTLUNG,HORIZONTALFISSURE,-49.9944,-189.725,999
RIGHTLUNG,HORIZONTALFISSURE,-49.9944,-154.608,1013
