Region,Type,X point, Y point, Z point
UNDEFINEDREGION,UNDEFINEDTYPE,-121.952,-189.204,-109.5
RIGHTLUNG,OBLIQUEFISSURE,-121.952,-159.556,-80
RIGHTLUNG,OBLIQUEFISSURE,-121.952,-136.645,-63.5
RIGHTLUNG,OBLIQUEFISSURE,-114.54,-212.788,-144.5
RIGHTLUNG,OBLIQUEFISSURE,-114.54,-195.268,-117
RIGHTLUNG,OBLIQUEFISSURE,-114.54,-155.513,-76.5
RIGHTLUNG,OBLIQUEFISSURE,-114.54,-128.56,-57.5
RIGHTLUNG,OBLIQUEFISSURE,-114.54,-120.474,-54
RIGHTLUNG,OBLIQUEFISSURE,-106.454,-210.767,-139.5
RIGHTLUNG,OBLIQUEFISSURE,-106.454,-187.856,-109.5
RIGHTLUNG,OBLIQUEFISSURE,-106.454,-146.753,-71
RIGHTLUNG,OBLIQUEFISSURE,-106.454,-102.954,-44.5
RIGHTLUNG,OBLIQUEFISSURE,-98.3681,-203.354,-130.5
RIGHTLUNG,OBLIQUEFISSURE,-98.3681,-178.423,-103.5
RIGHTLUNG,OBLIQUEFISSURE,-98.3681,-136.645,-63.5
RIGHTLUNG,OBLIQUEFISSURE,-98.3681,-102.28,-42
RIGHTLUNG,OBLIQUEFISSURE,-90.956,-194.595,-121.5
RIGHTLUNG,OBLIQUEFISSURE,-90.956,-154.165,-82
RIGHTLUNG,OBLIQUEFISSURE,-90.956,-133.95,-60.5
RIGHTLUNG,OBLIQUEFISSURE,-90.956,-118.452,-50
RIGHTLUNG,OBLIQUEFISSURE,-90.956,-91.499,-35
RIGHTLUNG,OBLIQUEFISSURE,-83.5439,-187.856,-117
RIGHTLUNG,OBLIQUEFISSURE,-83.5439,-157.534,-88.5
RIGHTLUNG,OBLIQUEFISSURE,-83.5439,-144.731,-78
RIGHTLUNG,OBLIQUEFISSURE,-83.5439,-124.517,-51
RIGHTLUNG,OBLIQUEFISSURE,-83.5439,-98.9111,-36.5
RIGHTLUNG,OBLIQUEFISSURE,-83.5439,-86.7822,-28.5
RIGHTLUNG,OBLIQUEFISSURE,-76.1318,-185.835,-115.5
RIGHTLUNG,OBLIQUEFISSURE,-76.1318,-156.86,-92
RIGHTLUNG,OBLIQUEFISSURE,-76.1318,-146.079,-81.5
RIGHTLUNG,OBLIQUEFISSURE,-76.1318,-130.581,-55
RIGHTLUNG,OBLIQUEFISSURE,-76.1318,-102.954,-36.5
RIGHTLUNG,OBLIQUEFISSURE,-76.1318,-86.1084,-23.5
RIGHTLUNG,OBLIQUEFISSURE,-68.7197,-176.401,-111
RIGHTLUNG,OBLIQUEFISSURE,-68.7197,-150.796,-93
RIGHTLUNG,OBLIQUEFISSURE,-68.7197,-142.036,-83
RIGHTLUNG,OBLIQUEFISSURE,-68.7197,-133.276,-56
RIGHTLUNG,OBLIQUEFISSURE,-68.7197,-102.954,-37
RIGHTLUNG,OBLIQUEFISSURE,-68.7197,-91.499,-26
RIGHTLUNG,OBLIQUEFISSURE,-64.0029,-176.401,-114.5
RIGHTLUNG,OBLIQUEFISSURE,-64.0029,-156.186,-100
RIGHTLUNG,OBLIQUEFISSURE,-64.0029,-146.079,-92
RIGHTLUNG,OBLIQUEFISSURE,-64.0029,-103.628,-32.5
RIGHTLUNG,OBLIQUEFISSURE,-64.0029,-93.5205,-28
RIGHTLUNG,OBLIQUEFISSURE,-64.0029,-86.1084,-19.5
RIGHTLUNG,OBLIQUEFISSURE,-59.2861,-175.054,-113
RIGHTLUNG,OBLIQUEFISSURE,-59.2861,-162.925,-106
RIGHTLUNG,OBLIQUEFISSURE,-59.2861,-146.079,-94.5
RIGHTLUNG,OBLIQUEFISSURE,-55.2431,-102.28,-29.5
RIGHTLUNG,OBLIQUEFISSURE,-55.2431,-92.8466,-23
RIGHTLUNG,OBLIQUEFISSURE,-50.5263,-170.337,-116
RIGHTLUNG,OBLIQUEFISSURE,-50.5263,-160.903,-109.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4404,-170.337,-118.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4404,-155.513,-111.5
RIGHTLUNG,OBLIQUEFISSURE,-39.0712,-165.62,-120
RIGHTLUNG,OBLIQUEFISSURE,-39.0712,-150.122,-112
RIGHTLUNG,OBLIQUEFISSURE,-35.0283,-164.272,-120.5
RIGHTLUNG,OBLIQUEFISSURE,-35.0283,-154.165,-112
LEFTLUNG,OBLIQUEFISSURE,115.909,-175.727,-131.5
LEFTLUNG,OBLIQUEFISSURE,115.909,-157.534,-111
LEFTLUNG,OBLIQUEFISSURE,115.909,-133.95,-88
