Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-103.458,-211.627,-1120.5
RIGHTLUNG,OBLIQUEFISSURE,-103.458,-161.77,-1072.5
RIGHTLUNG,OBLIQUEFISSURE,-103.458,-123.819,-1049
RIGHTLUNG,OBLIQUEFISSURE,-79.6455,-236.928,-1143.5
RIGHTLUNG,OBLIQUEFISSURE,-79.6455,-227.254,-1133
RIGHTLUNG,OBLIQUEFISSURE,-79.6455,-184.838,-1092.5
RIGHTLUNG,OBLIQUEFISSURE,-79.6455,-126.795,-1041.5
RIGHTLUNG,OBLIQUEFISSURE,-79.6455,-94.7973,-1018
RIGHTLUNG,OBLIQUEFISSURE,-59.5537,-193.768,-1099.5
RIGHTLUNG,OBLIQUEFISSURE,-59.5537,-169.211,-1075.5
RIGHTLUNG,OBLIQUEFISSURE,-59.5537,-157.305,-1058.5
RIGHTLUNG,OBLIQUEFISSURE,-59.5537,-120.098,-1030.5
RIGHTLUNG,OBLIQUEFISSURE,-59.5537,-100.006,-1017
RIGHTLUNG,OBLIQUEFISSURE,-59.5537,-88.1001,-1003
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-196.001,-1101.5
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-179.629,-1088
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-165.491,-1072.5
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-160.282,-1055
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-138.702,-1041.5
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-114.145,-1025.5
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-93.309,-1005.5
RIGHTLUNG,OBLIQUEFISSURE,-55.0889,-88.1001,-995
RIGHTLUNG,OBLIQUEFISSURE,-47.6475,-190.047,-1101
RIGHTLUNG,OBLIQUEFISSURE,-47.6475,-176.653,-1088
RIGHTLUNG,OBLIQUEFISSURE,-47.6475,-159.538,-1048
RIGHTLUNG,OBLIQUEFISSURE,-47.6475,-130.516,-1032
RIGHTLUNG,OBLIQUEFISSURE,-47.6475,-111.168,-1020.5
RIGHTLUNG,OBLIQUEFISSURE,-47.6475,-91.8208,-1000.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-213.86,-1116
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-192.28,-1101.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-178.141,-1089.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-166.979,-1051.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-147.631,-1039
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-117.866,-1022.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-100.75,-1011
RIGHTLUNG,OBLIQUEFISSURE,-42.4385,-90.3325,-993
RIGHTLUNG,OBLIQUEFISSURE,-34.9971,-210.883,-1121.5
RIGHTLUNG,OBLIQUEFISSURE,-34.9971,-195.256,-1106.5
RIGHTLUNG,OBLIQUEFISSURE,-34.9971,-176.653,-1087
RIGHTLUNG,OBLIQUEFISSURE,-34.9971,-157.305,-1039
RIGHTLUNG,OBLIQUEFISSURE,-34.9971,-123.819,-1021.5
RIGHTLUNG,OBLIQUEFISSURE,-34.9971,-105.959,-1011
RIGHTLUNG,OBLIQUEFISSURE,-34.9971,-91.8208,-992
RIGHTLUNG,OBLIQUEFISSURE,-25.3232,-202.698,-1117.5
RIGHTLUNG,OBLIQUEFISSURE,-25.3232,-190.792,-1101.5
RIGHTLUNG,OBLIQUEFISSURE,-22.3467,-185.583,-1098.5
RIGHTLUNG,OBLIQUEFISSURE,-22.3467,-172.932,-1088
RIGHTLUNG,OBLIQUEFISSURE,-22.3467,-160.282,-1027
RIGHTLUNG,OBLIQUEFISSURE,-22.3467,-148.375,-1028
RIGHTLUNG,OBLIQUEFISSURE,-22.3467,-128.284,-1019
RIGHTLUNG,OBLIQUEFISSURE,-22.3467,-112.657,-1007
RIGHTLUNG,OBLIQUEFISSURE,-22.3467,-100.006,-990.5
RIGHTLUNG,OBLIQUEFISSURE,-17.1377,-194.512,-1109.5
RIGHTLUNG,OBLIQUEFISSURE,-17.1377,-181.118,-1093.5
RIGHTLUNG,OBLIQUEFISSURE,-17.1377,-150.608,-1025.5
RIGHTLUNG,OBLIQUEFISSURE,-17.1377,-127.54,-1015.5
RIGHTLUNG,OBLIQUEFISSURE,-17.1377,-114.889,-1005
RIGHTLUNG,OBLIQUEFISSURE,-17.1377,-106.704,-992.5
RIGHTLUNG,OBLIQUEFISSURE,-10.4404,-157.305,-1024
RIGHTLUNG,OBLIQUEFISSURE,-10.4404,-139.446,-1018.5
RIGHTLUNG,OBLIQUEFISSURE,-10.4404,-124.563,-1009.5
RIGHTLUNG,OBLIQUEFISSURE,-10.4404,-114.145,-995
RIGHTLUNG,OBLIQUEFISSURE,-10.4404,-110.424,-989
RIGHTLUNG,OBLIQUEFISSURE,-17.8818,-197.489,-1111
RIGHTLUNG,OBLIQUEFISSURE,-17.8818,-176.653,-1090.5
LEFTLUNG,OBLIQUEFISSURE,130.946,-236.184,-1171
LEFTLUNG,OBLIQUEFISSURE,130.946,-222.79,-1148
LEFTLUNG,OBLIQUEFISSURE,130.946,-209.395,-1119.5
LEFTLUNG,OBLIQUEFISSURE,130.946,-161.026,-1063.5
LEFTLUNG,OBLIQUEFISSURE,130.946,-138.702,-1035
LEFTLUNG,OBLIQUEFISSURE,113.831,-227.254,-1157.5
LEFTLUNG,OBLIQUEFISSURE,113.831,-154.329,-1054.5
LEFTLUNG,OBLIQUEFISSURE,113.831,-140.934,-1030.5
LEFTLUNG,OBLIQUEFISSURE,113.831,-125.307,-997.5
LEFTLUNG,OBLIQUEFISSURE,113.831,-186.327,-1093.5
LEFTLUNG,OBLIQUEFISSURE,101.925,-220.557,-1146
LEFTLUNG,OBLIQUEFISSURE,101.925,-165.491,-1068
LEFTLUNG,OBLIQUEFISSURE,101.925,-142.422,-1029
LEFTLUNG,OBLIQUEFISSURE,101.925,-129.772,-1001.5
LEFTLUNG,OBLIQUEFISSURE,101.925,-121.586,-979.5
LEFTLUNG,OBLIQUEFISSURE,87.7862,-190.792,-1112
LEFTLUNG,OBLIQUEFISSURE,87.7862,-153.584,-1049
LEFTLUNG,OBLIQUEFISSURE,87.7862,-123.819,-974.5
LEFTLUNG,OBLIQUEFISSURE,76.6241,-176.653,-1099.5
LEFTLUNG,OBLIQUEFISSURE,76.6241,-161.77,-1078
LEFTLUNG,OBLIQUEFISSURE,76.6241,-154.329,-1049
LEFTLUNG,OBLIQUEFISSURE,76.6241,-130.516,-985
LEFTLUNG,OBLIQUEFISSURE,76.6241,-123.819,-956
LEFTLUNG,OBLIQUEFISSURE,69.1827,-168.467,-1097.5
LEFTLUNG,OBLIQUEFISSURE,69.1827,-164.747,-1082
LEFTLUNG,OBLIQUEFISSURE,69.1827,-153.584,-1031.5
LEFTLUNG,OBLIQUEFISSURE,69.1827,-138.702,-998.5
LEFTLUNG,OBLIQUEFISSURE,69.1827,-128.284,-979.5
LEFTLUNG,OBLIQUEFISSURE,69.1827,-127.54,-958
LEFTLUNG,OBLIQUEFISSURE,63.9737,-169.956,-1097.5
LEFTLUNG,OBLIQUEFISSURE,63.9737,-161.77,-1083
LEFTLUNG,OBLIQUEFISSURE,63.9737,-154.329,-1028.5
LEFTLUNG,OBLIQUEFISSURE,63.9737,-143.166,-1004.5
LEFTLUNG,OBLIQUEFISSURE,63.9737,-134.981,-984
LEFTLUNG,OBLIQUEFISSURE,63.9737,-128.284,-962
LEFTLUNG,OBLIQUEFISSURE,55.044,-163.258,-1020.5
LEFTLUNG,OBLIQUEFISSURE,55.044,-147.631,-1005
LEFTLUNG,OBLIQUEFISSURE,55.044,-140.934,-988
LEFTLUNG,OBLIQUEFISSURE,55.044,-134.981,-964
LEFTLUNG,OBLIQUEFISSURE,46.8584,-163.258,-1017.5
LEFTLUNG,OBLIQUEFISSURE,46.8584,-156.561,-1007
LEFTLUNG,OBLIQUEFISSURE,46.8584,-145.399,-987.5
LEFTLUNG,OBLIQUEFISSURE,46.8584,-140.934,-961.5
LEFTLUNG,OBLIQUEFISSURE,38.6729,-163.258,-1014.5
LEFTLUNG,OBLIQUEFISSURE,38.6729,-155.817,-985.5
LEFTLUNG,OBLIQUEFISSURE,38.6729,-149.12,-975
LEFTLUNG,OBLIQUEFISSURE,38.6729,-146.143,-964
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-101.97,-212.372,-1060.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-101.97,-195.256,-1058.5
RIGHTLUNG,HORIZONTALFISSURE,-101.97,-183.35,-1061
RIGHTLUNG,HORIZONTALFISSURE,-101.97,-164.747,-1069
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-87.8311,-230.975,-1059.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-87.8311,-203.442,-1053.5
RIGHTLUNG,HORIZONTALFISSURE,-87.8311,-169.956,-1060
RIGHTLUNG,HORIZONTALFISSURE,-87.8311,-160.282,-1065.5
RIGHTLUNG,HORIZONTALFISSURE,-72.2041,-239.905,-1059.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-72.2041,-190.047,-1053.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-72.2041,-170.7,-1057.5
RIGHTLUNG,HORIZONTALFISSURE,-72.2041,-160.282,-1062
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-64.0186,-160.282,-1059.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-64.0186,-173.676,-1055.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-64.0186,-213.116,-1052.5
RIGHTLUNG,HORIZONTALFISSURE,-64.0186,-239.905,-1068.5
RIGHTLUNG,HORIZONTALFISSURE,-29.7881,-251.811,-1082.5
RIGHTLUNG,HORIZONTALFISSURE,-29.7881,-235.44,-1074
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-10.4404,-256.276,-1091
RIGHTLUNG,HORIZONTALFISSURE,-10.4404,-236.184,-1080
RIGHTLUNG,HORIZONTALFISSURE,-10.4404,-227.999,-1070.5
