Region,Type,X point, Y point, Z point
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1448,-181.08,100
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1448,-171.705,110.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1448,-164.087,117.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1448,-155.298,125.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,90.2463,-178.736,101.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,90.2463,-178.15,102.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,90.2463,-172.877,109.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,90.2463,-163.502,116.5
LEFTLUNG,OBLIQUEFISSURE,63.2932,-162.916,119.5
LEFTLUNG,OBLIQUEFISSURE,63.2932,-162.33,120
LEFTLUNG,OBLIQUEFISSURE,63.2932,-152.369,130
LEFTLUNG,OBLIQUEFISSURE,63.2932,-139.478,139
LEFTLUNG,OBLIQUEFISSURE,63.2932,-123.658,155
LEFTLUNG,OBLIQUEFISSURE,55.0901,-155.884,121
LEFTLUNG,OBLIQUEFISSURE,55.0901,-150.025,131.5
LEFTLUNG,OBLIQUEFISSURE,55.0901,-134.205,142.5
LEFTLUNG,OBLIQUEFISSURE,55.0901,-123.658,154
LEFTLUNG,OBLIQUEFISSURE,55.0901,-116.626,167
LEFTLUNG,OBLIQUEFISSURE,44.5432,-147.681,130
LEFTSUPERIORLOBE,OBLIQUEFISSURE,44.5432,-147.681,131
LEFTLUNG,OBLIQUEFISSURE,44.5432,-142.408,139.5
LEFTLUNG,OBLIQUEFISSURE,44.5432,-133.619,148.5
LEFTLUNG,OBLIQUEFISSURE,44.5432,-124.83,155.5
LEFTLUNG,OBLIQUEFISSURE,44.5432,-118.97,167.5
LEFTLUNG,OBLIQUEFISSURE,44.5432,-114.283,177.5
LEFTLUNG,OBLIQUEFISSURE,44.5432,-111.939,185
LEFTLUNG,OBLIQUEFISSURE,36.926,-138.892,147
LEFTLUNG,OBLIQUEFISSURE,36.926,-130.689,158.5
LEFTLUNG,OBLIQUEFISSURE,36.926,-128.931,159
LEFTLUNG,OBLIQUEFISSURE,36.926,-122.486,163
LEFTLUNG,OBLIQUEFISSURE,36.926,-118.384,167.5
LEFTLUNG,OBLIQUEFISSURE,36.926,-116.041,181
LEFTLUNG,OBLIQUEFISSURE,36.926,-111.939,194.5
LEFTLUNG,OBLIQUEFISSURE,25.2072,-118.384,176
LEFTLUNG,OBLIQUEFISSURE,25.2072,-113.111,191.5
LEFTLUNG,OBLIQUEFISSURE,11.1447,-119.556,186.5
LEFTLUNG,OBLIQUEFISSURE,11.1447,-117.212,197
