Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,138.955,-9.95552,-251.125
LEFTLUNG,OBLIQUEFISSURE,138.955,-4.56881,-240.5
LEFTLUNG,OBLIQUEFISSURE,138.955,-3.79928,-239.25
LEFTLUNG,OBLIQUEFISSURE,138.955,3.1265,-221.75
LEFTLUNG,OBLIQUEFISSURE,138.955,14.6695,-199.25
LEFTLUNG,OBLIQUEFISSURE,132.029,-15.3422,-255.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,132.029,-15.3422,-254.875
LEFTLUNG,OBLIQUEFISSURE,132.029,-1.49068,-219.25
LEFTLUNG,OBLIQUEFISSURE,132.029,8.51322,-203
LEFTLUNG,OBLIQUEFISSURE,132.029,25.4429,-178.625
LEFTLUNG,OBLIQUEFISSURE,132.029,39.2945,-159.25
LEFTLUNG,OBLIQUEFISSURE,132.029,45.4507,-153.625
LEFTLUNG,OBLIQUEFISSURE,117.408,-13.0336,-238.625
LEFTLUNG,OBLIQUEFISSURE,117.408,-3.79928,-216.75
LEFTLUNG,OBLIQUEFISSURE,117.408,-3.02975,-216.75
LEFTLUNG,OBLIQUEFISSURE,117.408,5.43509,-201.125
LEFTLUNG,OBLIQUEFISSURE,117.408,15.439,-185.5
LEFTLUNG,OBLIQUEFISSURE,117.408,25.4429,-173.625
LEFTLUNG,OBLIQUEFISSURE,117.408,36.2163,-159.875
LEFTLUNG,OBLIQUEFISSURE,117.408,43.1421,-149.875
LEFTLUNG,OBLIQUEFISSURE,117.408,50.8374,-134.875
LEFTLUNG,OBLIQUEFISSURE,117.408,56.9937,-123
LEFTLUNG,OBLIQUEFISSURE,105.865,-6.10787,-228.625
LEFTLUNG,OBLIQUEFISSURE,105.865,3.89603,-208.625
LEFTSUPERIORLOBE,OBLIQUEFISSURE,105.865,3.89603,-208
LEFTLUNG,OBLIQUEFISSURE,105.865,12.3609,-189.875
LEFTSUPERIORLOBE,OBLIQUEFISSURE,105.865,12.3609,-188.625
LEFTLUNG,OBLIQUEFISSURE,105.865,22.3648,-174.25
LEFTLUNG,OBLIQUEFISSURE,105.865,33.9077,-158.625
LEFTLUNG,OBLIQUEFISSURE,105.865,34.6773,-158.625
LEFTLUNG,OBLIQUEFISSURE,105.865,43.9116,-144.875
LEFTLUNG,OBLIQUEFISSURE,105.865,55.4546,-128
LEFTLUNG,OBLIQUEFISSURE,105.865,62.3804,-114.25
LEFTLUNG,OBLIQUEFISSURE,95.8608,4.66556,-210.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,95.8608,4.66556,-209.875
LEFTLUNG,OBLIQUEFISSURE,95.8608,13.8999,-191.125
LEFTLUNG,OBLIQUEFISSURE,95.8608,21.5952,-177.375
LEFTLUNG,OBLIQUEFISSURE,95.8608,27.7515,-164.25
LEFTLUNG,OBLIQUEFISSURE,95.8608,38.5249,-148.625
LEFTLUNG,OBLIQUEFISSURE,95.8608,48.5288,-136.125
LEFTLUNG,OBLIQUEFISSURE,86.6265,8.51322,-211.75
LEFTLUNG,OBLIQUEFISSURE,86.6265,13.8999,-197.375
LEFTLUNG,OBLIQUEFISSURE,86.6265,20.8257,-181.125
LEFTLUNG,OBLIQUEFISSURE,86.6265,26.982,-168
LEFTLUNG,OBLIQUEFISSURE,86.6265,27.7515,-166.75
LEFTLUNG,OBLIQUEFISSURE,86.6265,32.3687,-154.875
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.6265,32.3687,-153.625
LEFTLUNG,OBLIQUEFISSURE,86.6265,38.5249,-146.125
LEFTLUNG,OBLIQUEFISSURE,86.6265,43.9116,-136.75
LEFTLUNG,OBLIQUEFISSURE,86.6265,62.3804,-114.875
LEFTLUNG,OBLIQUEFISSURE,86.6265,65.4585,-106.75
LEFTLUNG,OBLIQUEFISSURE,86.6265,69.3062,-97.375
LEFTLUNG,OBLIQUEFISSURE,76.6226,12.3609,-209.875
LEFTLUNG,OBLIQUEFISSURE,76.6226,22.3648,-191.125
LEFTLUNG,OBLIQUEFISSURE,76.6226,26.982,-178.625
LEFTLUNG,OBLIQUEFISSURE,76.6226,29.2906,-158
LEFTLUNG,OBLIQUEFISSURE,76.6226,33.9077,-143
LEFTLUNG,OBLIQUEFISSURE,76.6226,59.3023,-118.625
LEFTLUNG,OBLIQUEFISSURE,76.6226,65.4585,-104.875
LEFTLUNG,OBLIQUEFISSURE,76.6226,69.3062,-93
LEFTLUNG,OBLIQUEFISSURE,65.8491,39.2945,-132.375
LEFTLUNG,OBLIQUEFISSURE,65.8491,51.607,-123.625
LEFTLUNG,OBLIQUEFISSURE,65.8491,58.5327,-115.5
LEFTLUNG,OBLIQUEFISSURE,51.9976,32.3687,-122.375
LEFTLUNG,OBLIQUEFISSURE,51.9976,33.1382,-122.375
LEFTLUNG,OBLIQUEFISSURE,51.9976,40.8335,-117.375
LEFTLUNG,OBLIQUEFISSURE,51.9976,51.607,-112.375
