Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,140.729,-273.4,-306.5
LEFTLUNG,OBLIQUEFISSURE,140.729,-257.696,-283.5
LEFTLUNG,OBLIQUEFISSURE,140.729,-232.179,-259
UNDEFINEDREGION,UNDEFINEDTYPE,140.729,-208.624,-243.5
LEFTLUNG,OBLIQUEFISSURE,132.878,-281.251,-324.5
LEFTLUNG,OBLIQUEFISSURE,132.878,-259.659,-295
LEFTLUNG,OBLIQUEFISSURE,132.878,-238.068,-266.5
LEFTLUNG,OBLIQUEFISSURE,132.878,-204.698,-241
LEFTLUNG,OBLIQUEFISSURE,132.878,-181.798,-226
LEFTLUNG,OBLIQUEFISSURE,122.409,-272.091,-312
LEFTLUNG,OBLIQUEFISSURE,122.409,-244.61,-278.5
LEFTLUNG,OBLIQUEFISSURE,122.409,-219.093,-251
LEFTLUNG,OBLIQUEFISSURE,122.409,-177.872,-223
LEFTLUNG,OBLIQUEFISSURE,122.409,-158.898,-210.5
LEFTLUNG,OBLIQUEFISSURE,108.015,-266.202,-305.5
LEFTLUNG,OBLIQUEFISSURE,108.015,-234.142,-268
LEFTLUNG,OBLIQUEFISSURE,108.015,-204.698,-239
LEFTLUNG,OBLIQUEFISSURE,108.015,-181.144,-223.5
LEFTLUNG,OBLIQUEFISSURE,108.015,-146.466,-200
LEFTLUNG,OBLIQUEFISSURE,89.0399,-245.265,-290.5
LEFTLUNG,OBLIQUEFISSURE,89.0399,-226.29,-266
LEFTLUNG,OBLIQUEFISSURE,89.0399,-198.81,-234.5
LEFTLUNG,OBLIQUEFISSURE,89.0399,-166.749,-212
LEFTLUNG,OBLIQUEFISSURE,89.0399,-139.923,-189.5
LEFTLUNG,OBLIQUEFISSURE,78.5712,-222.364,-268.5
LEFTLUNG,OBLIQUEFISSURE,78.5712,-190.958,-229
LEFTLUNG,OBLIQUEFISSURE,78.5712,-173.946,-212
LEFTLUNG,OBLIQUEFISSURE,78.5712,-154.317,-199.5
LEFTLUNG,OBLIQUEFISSURE,78.5712,-137.306,-189
LEFTLUNG,OBLIQUEFISSURE,78.5712,-132.071,-174.5
LEFTLUNG,OBLIQUEFISSURE,65.4852,-182.452,-214.5
LEFTLUNG,OBLIQUEFISSURE,65.4852,-162.823,-199.5
LEFTLUNG,OBLIQUEFISSURE,65.4852,-143.194,-187
LEFTLUNG,OBLIQUEFISSURE,65.4852,-130.108,-166.5
LEFTLUNG,OBLIQUEFISSURE,58.9423,-174.601,-206
LEFTLUNG,OBLIQUEFISSURE,58.9423,-164.132,-197
LEFTLUNG,OBLIQUEFISSURE,58.9423,-145.157,-187.5
LEFTLUNG,OBLIQUEFISSURE,58.9423,-132.071,-164.5
LEFTLUNG,OBLIQUEFISSURE,47.8192,-177.872,-199.5
LEFTLUNG,OBLIQUEFISSURE,47.8192,-164.786,-190.5
LEFTLUNG,OBLIQUEFISSURE,47.8192,-148.429,-183
LEFTLUNG,OBLIQUEFISSURE,47.8192,-134.689,-162
LEFTLUNG,OBLIQUEFISSURE,39.9677,-176.564,-191.5
LEFTLUNG,OBLIQUEFISSURE,39.9677,-166.095,-182
LEFTLUNG,OBLIQUEFISSURE,39.9677,-152.355,-180.5
LEFTLUNG,OBLIQUEFISSURE,39.9677,-137.96,-162
LEFTLUNG,OBLIQUEFISSURE,34.079,-156.28,-174.5
LEFTLUNG,OBLIQUEFISSURE,34.079,-149.737,-173
LEFTLUNG,OBLIQUEFISSURE,34.079,-143.849,-164.5
LEFTLUNG,OBLIQUEFISSURE,29.4989,-155.626,-167.5
LEFTLUNG,OBLIQUEFISSURE,29.4989,-151.046,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-135.384,-262.276,-299
RIGHTLUNG,OBLIQUEFISSURE,-135.384,-234.142,-284
RIGHTLUNG,OBLIQUEFISSURE,-135.384,-202.081,-267.5
RIGHTLUNG,OBLIQUEFISSURE,-132.767,-260.314,-296
