Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,108.665,-202.82,-255.5
LEFTLUNG,OBLIQUEFISSURE,108.665,-197.898,-230
LEFTLUNG,OBLIQUEFISSURE,108.665,-191.57,-208
LEFTLUNG,OBLIQUEFISSURE,108.665,-185.242,-196
LEFTLUNG,OBLIQUEFISSURE,98.8208,-208.445,-260.5
LEFTLUNG,OBLIQUEFISSURE,98.8208,-200.007,-239.5
LEFTLUNG,OBLIQUEFISSURE,98.8208,-195.789,-225
LEFTLUNG,OBLIQUEFISSURE,98.8208,-185.945,-197
LEFTLUNG,OBLIQUEFISSURE,98.8208,-165.554,-171
LEFTLUNG,OBLIQUEFISSURE,98.8208,-155.711,-163
LEFTLUNG,OBLIQUEFISSURE,91.7895,-203.523,-249.5
LEFTLUNG,OBLIQUEFISSURE,91.7895,-192.976,-228.5
LEFTLUNG,OBLIQUEFISSURE,91.7895,-187.351,-206
LEFTLUNG,OBLIQUEFISSURE,91.7895,-172.586,-179.5
LEFTLUNG,OBLIQUEFISSURE,91.7895,-146.57,-153
LEFTLUNG,OBLIQUEFISSURE,79.1333,-198.601,-247.5
LEFTLUNG,OBLIQUEFISSURE,79.1333,-186.648,-228
LEFTLUNG,OBLIQUEFISSURE,79.1333,-178.914,-196
LEFTLUNG,OBLIQUEFISSURE,79.1333,-164.851,-172.5
LEFTLUNG,OBLIQUEFISSURE,79.1333,-143.054,-147
LEFTLUNG,OBLIQUEFISSURE,79.1333,-133.211,-137
LEFTLUNG,OBLIQUEFISSURE,69.9926,-164.851,-175.5
LEFTLUNG,OBLIQUEFISSURE,69.9926,-150.789,-153
LEFTLUNG,OBLIQUEFISSURE,69.9926,-137.429,-139.5
LEFTLUNG,OBLIQUEFISSURE,69.9926,-128.992,-129.5
LEFTLUNG,OBLIQUEFISSURE,63.6645,-164.148,-177
LEFTLUNG,OBLIQUEFISSURE,63.6645,-155.007,-157
LEFTLUNG,OBLIQUEFISSURE,63.6645,-140.945,-139
LEFTLUNG,OBLIQUEFISSURE,63.6645,-124.773,-125
LEFTLUNG,OBLIQUEFISSURE,41.8676,-159.226,-157.5
LEFTLUNG,OBLIQUEFISSURE,41.8676,-145.867,-140
LEFTLUNG,OBLIQUEFISSURE,41.8676,-126.882,-119
LEFTLUNG,OBLIQUEFISSURE,36.9458,-154.304,-147.5
LEFTLUNG,OBLIQUEFISSURE,36.9458,-141.648,-134.5
LEFTLUNG,OBLIQUEFISSURE,36.9458,-127.586,-117.5
LEFTLUNG,OBLIQUEFISSURE,36.9458,-125.476,-112
LEFTLUNG,OBLIQUEFISSURE,32.0239,-159.929,-149
LEFTLUNG,OBLIQUEFISSURE,32.0239,-140.945,-133
LEFTLUNG,OBLIQUEFISSURE,32.0239,-127.586,-113.5
LEFTLUNG,OBLIQUEFISSURE,28.5083,-155.007,-145.5
LEFTLUNG,OBLIQUEFISSURE,28.5083,-137.429,-128.5
LEFTLUNG,OBLIQUEFISSURE,28.5083,-127.586,-114.5
LEFTLUNG,OBLIQUEFISSURE,24.2895,-145.867,-138.5
LEFTLUNG,OBLIQUEFISSURE,24.2895,-136.726,-126
LEFTLUNG,OBLIQUEFISSURE,24.2895,-130.398,-114
LEFTLUNG,OBLIQUEFISSURE,19.3676,-144.461,-133.5
LEFTLUNG,OBLIQUEFISSURE,19.3676,-137.429,-125.5
LEFTLUNG,OBLIQUEFISSURE,19.3676,-130.398,-114.5
LEFTLUNG,OBLIQUEFISSURE,15.1489,-141.648,-129.5
LEFTLUNG,OBLIQUEFISSURE,15.1489,-138.836,-124
LEFTLUNG,OBLIQUEFISSURE,15.1489,-136.023,-116.5
LEFTLUNG,OBLIQUEFISSURE,10.227,-147.273,-127
LEFTLUNG,OBLIQUEFISSURE,10.227,-143.054,-121
RIGHTLUNG,OBLIQUEFISSURE,-77.6636,-216.882,-228
RIGHTLUNG,OBLIQUEFISSURE,-77.6636,-196.492,-199.5
RIGHTLUNG,OBLIQUEFISSURE,-77.6636,-181.023,-178.5
RIGHTLUNG,OBLIQUEFISSURE,-77.6636,-163.445,-156
RIGHTLUNG,OBLIQUEFISSURE,-77.6636,-136.023,-138
RIGHTLUNG,OBLIQUEFISSURE,-77.6636,-124.07,-130.5
RIGHTLUNG,OBLIQUEFISSURE,-83.2886,-218.992,-226
RIGHTLUNG,OBLIQUEFISSURE,-83.2886,-192.976,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-83.2886,-171.882,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-83.2886,-145.867,-142
RIGHTLUNG,OBLIQUEFISSURE,-83.2886,-128.992,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-126.882,-223.914,-218.5
RIGHTLUNG,OBLIQUEFISSURE,-126.882,-210.554,-199.5
RIGHTLUNG,OBLIQUEFISSURE,-126.882,-197.195,-181.5
RIGHTLUNG,OBLIQUEFISSURE,-126.882,-178.914,-164
RIGHTLUNG,OBLIQUEFISSURE,-126.882,-168.367,-154.5
RIGHTLUNG,OBLIQUEFISSURE,-114.929,-235.164,-240
RIGHTLUNG,OBLIQUEFISSURE,-114.929,-218.289,-215
RIGHTLUNG,OBLIQUEFISSURE,-114.929,-197.195,-186.5
