Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,125.098,-47.8515,-242.5
LEFTLUNG,OBLIQUEFISSURE,125.098,-32.8124,-208.75
LEFTLUNG,OBLIQUEFISSURE,125.098,-12.9882,-183.75
LEFTLUNG,OBLIQUEFISSURE,125.098,8.88679,-163.125
LEFTLUNG,OBLIQUEFISSURE,125.098,32.129,-141.875
LEFTLUNG,OBLIQUEFISSURE,125.098,54.6876,-111.25
LEFTLUNG,OBLIQUEFISSURE,134.668,-49.2187,-240.625
LEFTLUNG,OBLIQUEFISSURE,134.668,-31.4453,-206.875
LEFTLUNG,OBLIQUEFISSURE,134.668,-8.88666,-179.375
LEFTLUNG,OBLIQUEFISSURE,134.668,12.9883,-161.25
LEFTLUNG,OBLIQUEFISSURE,134.668,32.8126,-143.125
LEFTLUNG,OBLIQUEFISSURE,134.668,46.4845,-128.75
LEFTLUNG,OBLIQUEFISSURE,117.578,-51.9531,-245
LEFTLUNG,OBLIQUEFISSURE,117.578,-23.2421,-200.625
LEFTLUNG,OBLIQUEFISSURE,117.578,-8.20306,-179.375
LEFTLUNG,OBLIQUEFISSURE,117.578,23.2423,-150
LEFTLUNG,OBLIQUEFISSURE,117.578,38.9649,-127.5
LEFTLUNG,OBLIQUEFISSURE,117.578,60.8399,-99.375
LEFTLUNG,OBLIQUEFISSURE,109.375,-54.6875,-248.125
LEFTLUNG,OBLIQUEFISSURE,109.375,-43.0664,-235
LEFTLUNG,OBLIQUEFISSURE,109.375,-32.1289,-225.625
LEFTLUNG,OBLIQUEFISSURE,109.375,-27.3437,-206.25
LEFTLUNG,OBLIQUEFISSURE,109.375,-19.1406,-195.625
LEFTLUNG,OBLIQUEFISSURE,109.375,1.36725,-161.25
LEFTLUNG,OBLIQUEFISSURE,109.375,21.8751,-148.75
LEFTLUNG,OBLIQUEFISSURE,109.375,34.1798,-131.25
LEFTLUNG,OBLIQUEFISSURE,109.375,52.6368,-109.375
LEFTLUNG,OBLIQUEFISSURE,109.375,71.0938,-85
LEFTLUNG,OBLIQUEFISSURE,99.8048,-47.1679,-243.75
LEFTLUNG,OBLIQUEFISSURE,99.8048,-24.6093,-225.625
LEFTLUNG,OBLIQUEFISSURE,99.8048,31.4454,-135.625
LEFTLUNG,OBLIQUEFISSURE,99.8048,51.2696,-108.75
LEFTLUNG,OBLIQUEFISSURE,99.8048,72.461,-81.25
LEFTLUNG,OBLIQUEFISSURE,88.8673,-33.496,-240
LEFTLUNG,OBLIQUEFISSURE,88.8673,-21.1914,-225.625
LEFTLUNG,OBLIQUEFISSURE,88.8673,27.3438,-141.25
LEFTLUNG,OBLIQUEFISSURE,88.8673,49.9024,-106.875
LEFTLUNG,OBLIQUEFISSURE,88.8673,75.1954,-75.625
LEFTLUNG,OBLIQUEFISSURE,77.2462,34.1798,-123.75
LEFTLUNG,OBLIQUEFISSURE,77.2462,58.1056,-96.875
LEFTLUNG,OBLIQUEFISSURE,77.2462,76.5626,-66.875
LEFTLUNG,OBLIQUEFISSURE,66.9923,26.6602,-131.25
LEFTLUNG,OBLIQUEFISSURE,66.9923,45.8009,-108.125
LEFTLUNG,OBLIQUEFISSURE,66.9923,64.2579,-86.25
LEFTLUNG,OBLIQUEFISSURE,66.9923,72.461,-75
LEFTLUNG,OBLIQUEFISSURE,66.9923,77.9298,-58.75
LEFTLUNG,OBLIQUEFISSURE,57.422,28.711,-115
LEFTLUNG,OBLIQUEFISSURE,57.422,41.6993,-104.375
LEFTLUNG,OBLIQUEFISSURE,57.422,60.8399,-86.875
LEFTLUNG,OBLIQUEFISSURE,57.422,75.1954,-61.875
LEFTLUNG,OBLIQUEFISSURE,49.2188,24.6094,-110.625
LEFTLUNG,OBLIQUEFISSURE,49.2188,51.2696,-93.75
LEFTLUNG,OBLIQUEFISSURE,49.2188,72.461,-65
LEFTLUNG,OBLIQUEFISSURE,44.4337,25.293,-106.875
LEFTLUNG,OBLIQUEFISSURE,44.4337,49.9024,-93.75
LEFTLUNG,OBLIQUEFISSURE,44.4337,67.6759,-61.875
LEFTLUNG,OBLIQUEFISSURE,40.3321,22.5587,-106.25
LEFTLUNG,OBLIQUEFISSURE,40.3321,28.0274,-101.25
LEFTLUNG,OBLIQUEFISSURE,40.3321,50.586,-88.125
LEFTLUNG,OBLIQUEFISSURE,40.3321,62.8907,-66.875
LEFTLUNG,OBLIQUEFISSURE,40.3321,59.4727,-78.75
LEFTLUNG,OBLIQUEFISSURE,36.2305,48.5352,-85.625
LEFTLUNG,OBLIQUEFISSURE,36.2305,56.7384,-75.625
LEFTLUNG,OBLIQUEFISSURE,36.2305,59.4727,-66.875
LEFTLUNG,OBLIQUEFISSURE,32.8126,49.2188,-81.875
LEFTLUNG,OBLIQUEFISSURE,32.8126,53.3204,-76.25
LEFTSUPERIORLOBE,OBLIQUEFISSURE,32.8126,53.3204,-69.375
LEFTLUNG,OBLIQUEFISSURE,29.3946,47.8516,-78.125
LEFTLUNG,OBLIQUEFISSURE,29.3946,50.586,-75
RIGHTLUNG,OBLIQUEFISSURE,-136.719,-23.9257,-236.25
RIGHTLUNG,OBLIQUEFISSURE,-136.719,-11.621,-210
RIGHTLUNG,OBLIQUEFISSURE,-136.719,8.20319,-173.125
RIGHTLUNG,OBLIQUEFISSURE,-136.719,15.0391,-160.625
RIGHTLUNG,OBLIQUEFISSURE,-125.781,-32.1289,-231.875
RIGHTLUNG,OBLIQUEFISSURE,-125.781,-13.6718,-204.375
RIGHTLUNG,OBLIQUEFISSURE,-125.781,12.3048,-166.25
RIGHTLUNG,OBLIQUEFISSURE,-125.781,38.9649,-125.625
RIGHTLUNG,OBLIQUEFISSURE,-116.895,-33.496,-226.25
RIGHTLUNG,OBLIQUEFISSURE,-116.895,-11.621,-197.5
RIGHTLUNG,OBLIQUEFISSURE,-116.895,19.8243,-152.5
RIGHTLUNG,OBLIQUEFISSURE,-116.895,44.4337,-114.375
RIGHTLUNG,OBLIQUEFISSURE,-116.895,54.004,-108.75
RIGHTLUNG,OBLIQUEFISSURE,-108.691,-33.496,-220
RIGHTLUNG,OBLIQUEFISSURE,-108.691,-2.05072,-181.875
RIGHTLUNG,OBLIQUEFISSURE,-108.691,28.0274,-140
RIGHTLUNG,OBLIQUEFISSURE,-108.691,43.0665,-115.625
RIGHTLUNG,OBLIQUEFISSURE,-101.855,-37.5976,-219.375
RIGHTLUNG,OBLIQUEFISSURE,-101.855,-11.621,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-101.855,5.46882,-171.875
RIGHTLUNG,OBLIQUEFISSURE,-101.855,29.3946,-138.125
RIGHTLUNG,OBLIQUEFISSURE,-101.855,43.7501,-116.875
RIGHTLUNG,OBLIQUEFISSURE,-94.3359,-39.6484,-218.75
RIGHTLUNG,OBLIQUEFISSURE,-94.3359,-17.0898,-197.5
RIGHTLUNG,OBLIQUEFISSURE,-94.3359,3.41803,-174.375
RIGHTLUNG,OBLIQUEFISSURE,-94.3359,23.9259,-147.5
RIGHTLUNG,OBLIQUEFISSURE,-94.3359,40.3321,-121.875
RIGHTLUNG,OBLIQUEFISSURE,-82.0312,-38.9648,-212.5
RIGHTLUNG,OBLIQUEFISSURE,-82.0312,-17.0898,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-82.0312,6.836,-168.125
RIGHTLUNG,OBLIQUEFISSURE,-78.6132,-34.8632,-209.375
RIGHTLUNG,OBLIQUEFISSURE,-78.6132,-10.2538,-186.875
RIGHTLUNG,OBLIQUEFISSURE,-78.6132,-2.05072,-177.5
RIGHTLUNG,OBLIQUEFISSURE,-71.0937,-40.332,-214.375
RIGHTLUNG,OBLIQUEFISSURE,-71.0937,-20.5078,-198.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-89.5507,-83.3984,-161.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-89.5507,-43.75,-139.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-89.5507,6.4e-005,-116.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-89.5507,42.3829,-95.625
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-89.5507,64.2579,-82.5
RIGHTLUNG,HORIZONTALFISSURE,-80.664,-84.082,-164.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-80.664,-45.8007,-141.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-80.664,2.73444,-115
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-80.664,35.547,-101.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-80.664,63.5743,-83.75
RIGHTLUNG,HORIZONTALFISSURE,-71.0937,-88.1836,-171.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-71.0937,-60.8398,-155
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-71.0937,-28.7109,-134.375
RIGHTLUNG,HORIZONTALFISSURE,-71.0937,6.15241,-112.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-71.0937,47.1681,-92.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-71.0937,56.7384,-87.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-63.5742,-95.0195,-176.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-63.5742,-75.8789,-163.125
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-63.5742,-42.3828,-143.125
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-63.5742,-15.039,-130
RIGHTLUNG,HORIZONTALFISSURE,-63.5742,2.73444,-121.25
