Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-87.1072,-240.396,-621.5
RIGHTLUNG,OBLIQUEFISSURE,-87.1072,-206.9,-588.5
RIGHTLUNG,OBLIQUEFISSURE,-87.1072,-178.189,-553
RIGHTLUNG,OBLIQUEFISSURE,-87.1072,-172.037,-541
RIGHTLUNG,OBLIQUEFISSURE,-87.1072,-136.49,-523.5
RIGHTLUNG,OBLIQUEFISSURE,-87.1072,-109.146,-507
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-236.978,-618.5
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-211.002,-591.5
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-187.076,-568.5
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-176.138,-553.5
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-171.353,-539.5
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-154.947,-528
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-133.756,-519.5
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-120.084,-513
RIGHTLUNG,OBLIQUEFISSURE,-74.1189,-107.779,-502
RIGHTLUNG,OBLIQUEFISSURE,-65.9158,-207.584,-589.5
RIGHTLUNG,OBLIQUEFISSURE,-65.9158,-182.974,-568
RIGHTLUNG,OBLIQUEFISSURE,-65.9158,-178.873,-553.5
RIGHTLUNG,OBLIQUEFISSURE,-65.9158,-169.986,-535.5
RIGHTLUNG,OBLIQUEFISSURE,-65.9158,-154.947,-525.5
RIGHTLUNG,OBLIQUEFISSURE,-65.9158,-122.134,-512.5
RIGHTLUNG,OBLIQUEFISSURE,-65.9158,-110.513,-503
RIGHTLUNG,OBLIQUEFISSURE,-59.0798,-198.697,-583.5
RIGHTLUNG,OBLIQUEFISSURE,-59.0798,-186.392,-571
RIGHTLUNG,OBLIQUEFISSURE,-59.0798,-178.189,-541.5
RIGHTLUNG,OBLIQUEFISSURE,-59.0798,-160.416,-525.5
RIGHTLUNG,OBLIQUEFISSURE,-59.0798,-140.592,-518.5
RIGHTLUNG,OBLIQUEFISSURE,-59.0798,-121.451,-510.5
RIGHTLUNG,OBLIQUEFISSURE,-59.0798,-110.513,-502
RIGHTLUNG,OBLIQUEFISSURE,-66.5994,-174.088,-540.5
RIGHTLUNG,OBLIQUEFISSURE,-66.5994,-179.556,-551.5
RIGHTLUNG,OBLIQUEFISSURE,-51.5603,-228.775,-610.5
RIGHTLUNG,OBLIQUEFISSURE,-51.5603,-193.912,-578.5
RIGHTLUNG,OBLIQUEFISSURE,-51.5603,-163.15,-527
RIGHTLUNG,OBLIQUEFISSURE,-90.5252,-232.193,-611
RIGHTLUNG,OBLIQUEFISSURE,-90.5252,-191.861,-569.5
