Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-119.843,-194.85,-163
RIGHTLUNG,OBLIQUEFISSURE,-119.843,-171.618,-139.5
RIGHTLUNG,OBLIQUEFISSURE,-116.268,-204.977,-171.5
RIGHTLUNG,OBLIQUEFISSURE,-116.268,-168.044,-135
RIGHTLUNG,OBLIQUEFISSURE,-112.098,-208.552,-172.5
RIGHTLUNG,OBLIQUEFISSURE,-112.098,-172.214,-137.5
RIGHTLUNG,OBLIQUEFISSURE,-107.929,-196.638,-161
RIGHTLUNG,OBLIQUEFISSURE,-107.929,-165.065,-130.5
RIGHTLUNG,OBLIQUEFISSURE,-107.929,-146.599,-119.5
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-200.807,-163
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-172.214,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-146.599,-118
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-134.684,-111
RIGHTLUNG,OBLIQUEFISSURE,-94.2274,-201.999,-163
RIGHTLUNG,OBLIQUEFISSURE,-94.2274,-180.554,-143.5
RIGHTLUNG,OBLIQUEFISSURE,-94.2274,-162.683,-129
RIGHTLUNG,OBLIQUEFISSURE,-94.2274,-133.493,-109.5
RIGHTLUNG,OBLIQUEFISSURE,-94.2274,-123.962,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-86.4833,-204.382,-164
RIGHTLUNG,OBLIQUEFISSURE,-86.4833,-188.298,-153
RIGHTLUNG,OBLIQUEFISSURE,-86.4833,-196.042,-158.5
RIGHTLUNG,OBLIQUEFISSURE,-86.4833,-165.065,-130
RIGHTLUNG,OBLIQUEFISSURE,-86.4833,-125.749,-102.5
RIGHTLUNG,OBLIQUEFISSURE,-78.1434,-187.702,-155
RIGHTLUNG,OBLIQUEFISSURE,-78.1434,-161.491,-130
RIGHTLUNG,OBLIQUEFISSURE,-78.1434,-132.897,-104.5
RIGHTLUNG,OBLIQUEFISSURE,-78.1434,-115.622,-94.5
RIGHTLUNG,OBLIQUEFISSURE,-69.8036,-197.829,-161
RIGHTLUNG,OBLIQUEFISSURE,-69.8036,-168.044,-140.5
RIGHTLUNG,OBLIQUEFISSURE,-69.8036,-132.897,-102.5
RIGHTLUNG,OBLIQUEFISSURE,-69.8036,-111.452,-90.5
RIGHTLUNG,OBLIQUEFISSURE,-57.2938,-191.276,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-57.2938,-165.661,-136
RIGHTLUNG,OBLIQUEFISSURE,-57.2938,-133.493,-100.5
RIGHTLUNG,OBLIQUEFISSURE,-53.7196,-128.132,-96.5
RIGHTLUNG,OBLIQUEFISSURE,-53.7196,-114.431,-90.5
RIGHTLUNG,OBLIQUEFISSURE,-49.5497,-181.745,-160
RIGHTLUNG,OBLIQUEFISSURE,-49.5497,-173.405,-152.5
