Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-140.709,-227.287,-246
RIGHTLUNG,OBLIQUEFISSURE,-140.709,-204.311,-211
RIGHTLUNG,OBLIQUEFISSURE,-140.709,-188.768,-195.5
RIGHTLUNG,OBLIQUEFISSURE,-135.978,-225.935,-242
RIGHTLUNG,OBLIQUEFISSURE,-135.978,-203.635,-210.5
RIGHTLUNG,OBLIQUEFISSURE,-135.978,-185.389,-190
RIGHTLUNG,OBLIQUEFISSURE,-127.869,-223.232,-238
RIGHTLUNG,OBLIQUEFISSURE,-127.869,-206.338,-214
RIGHTLUNG,OBLIQUEFISSURE,-127.869,-186.064,-189
RIGHTLUNG,OBLIQUEFISSURE,-127.869,-172.549,-178
RIGHTLUNG,OBLIQUEFISSURE,-127.869,-161.061,-176.5
RIGHTLUNG,OBLIQUEFISSURE,-120.435,-217.15,-230.5
RIGHTLUNG,OBLIQUEFISSURE,-120.435,-192.822,-200
RIGHTLUNG,OBLIQUEFISSURE,-120.435,-177.279,-180.5
RIGHTLUNG,OBLIQUEFISSURE,-120.435,-167.143,-174.5
RIGHTLUNG,OBLIQUEFISSURE,-120.435,-154.978,-171
RIGHTLUNG,OBLIQUEFISSURE,-120.435,-149.572,-171
RIGHTLUNG,OBLIQUEFISSURE,-113.678,-216.475,-228.5
RIGHTLUNG,OBLIQUEFISSURE,-113.678,-197.553,-210.5
RIGHTLUNG,OBLIQUEFISSURE,-113.678,-178.631,-182
RIGHTLUNG,OBLIQUEFISSURE,-113.678,-160.385,-171.5
RIGHTLUNG,OBLIQUEFISSURE,-113.678,-144.842,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-105.568,-211.068,-225.5
RIGHTLUNG,OBLIQUEFISSURE,-105.568,-193.498,-207
RIGHTLUNG,OBLIQUEFISSURE,-105.568,-186.74,-197.5
RIGHTLUNG,OBLIQUEFISSURE,-105.568,-180.658,-183.5
RIGHTLUNG,OBLIQUEFISSURE,-105.568,-154.978,-169
RIGHTLUNG,OBLIQUEFISSURE,-105.568,-140.111,-162.5
RIGHTLUNG,OBLIQUEFISSURE,-105.568,-134.029,-162.5
RIGHTLUNG,OBLIQUEFISSURE,-98.1347,-209.717,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-98.1347,-196.201,-213.5
RIGHTLUNG,OBLIQUEFISSURE,-98.1347,-164.439,-173
RIGHTLUNG,OBLIQUEFISSURE,-98.1347,-149.572,-166
RIGHTLUNG,OBLIQUEFISSURE,-98.1347,-134.029,-158.5
RIGHTLUNG,OBLIQUEFISSURE,-92.0527,-206.338,-222
RIGHTLUNG,OBLIQUEFISSURE,-92.0527,-197.553,-216.5
RIGHTLUNG,OBLIQUEFISSURE,-88.6738,-161.061,-173
RIGHTLUNG,OBLIQUEFISSURE,-88.6738,-136.057,-159
RIGHTLUNG,OBLIQUEFISSURE,-80.5644,-169.846,-177
RIGHTLUNG,OBLIQUEFISSURE,-80.5644,-144.166,-163.5
RIGHTLUNG,OBLIQUEFISSURE,-80.5644,-132.678,-158.5
RIGHTLUNG,OBLIQUEFISSURE,-71.7792,-163.764,-176.5
RIGHTLUNG,OBLIQUEFISSURE,-71.7792,-138.084,-159.5
RIGHTLUNG,OBLIQUEFISSURE,-71.7792,-129.975,-155
RIGHTLUNG,OBLIQUEFISSURE,-62.9941,-171.197,-185
RIGHTLUNG,OBLIQUEFISSURE,-62.9941,-146.869,-164
RIGHTLUNG,OBLIQUEFISSURE,-58.9394,-159.709,-177
RIGHTLUNG,OBLIQUEFISSURE,-58.9394,-136.057,-155
LEFTLUNG,OBLIQUEFISSURE,118.791,-238.1,-263
LEFTLUNG,OBLIQUEFISSURE,118.791,-213.096,-232.5
LEFTLUNG,OBLIQUEFISSURE,118.791,-181.334,-208
LEFTLUNG,OBLIQUEFISSURE,118.791,-175.928,-204.5
LEFTLUNG,OBLIQUEFISSURE,111.357,-233.369,-254
LEFTLUNG,OBLIQUEFISSURE,111.357,-198.904,-221
LEFTLUNG,OBLIQUEFISSURE,111.357,-163.088,-192
LEFTLUNG,OBLIQUEFISSURE,104.6,-233.369,-256.5
LEFTLUNG,OBLIQUEFISSURE,104.6,-211.068,-233.5
LEFTLUNG,OBLIQUEFISSURE,104.6,-177.279,-202
LEFTLUNG,OBLIQUEFISSURE,104.6,-157.682,-183.5
LEFTLUNG,OBLIQUEFISSURE,98.5176,-209.041,-234
LEFTLUNG,OBLIQUEFISSURE,98.5176,-177.279,-204
LEFTLUNG,OBLIQUEFISSURE,98.5176,-155.654,-178.5
LEFTLUNG,OBLIQUEFISSURE,93.7871,-216.475,-244.5
LEFTLUNG,OBLIQUEFISSURE,93.7871,-199.58,-226
LEFTLUNG,OBLIQUEFISSURE,93.7871,-146.869,-167
LEFTLUNG,OBLIQUEFISSURE,85.6777,-200.932,-230.5
LEFTLUNG,OBLIQUEFISSURE,85.6777,-173.225,-196
LEFTLUNG,OBLIQUEFISSURE,85.6777,-143.49,-161
LEFTLUNG,OBLIQUEFISSURE,78.9199,-195.525,-231.5
LEFTLUNG,OBLIQUEFISSURE,78.9199,-165.791,-186.5
LEFTLUNG,OBLIQUEFISSURE,78.9199,-139.436,-154.5
LEFTLUNG,OBLIQUEFISSURE,71.4863,-175.252,-198.5
LEFTLUNG,OBLIQUEFISSURE,71.4863,-157.682,-171.5
LEFTLUNG,OBLIQUEFISSURE,71.4863,-136.732,-148
LEFTLUNG,OBLIQUEFISSURE,64.7285,-173.225,-191
LEFTLUNG,OBLIQUEFISSURE,64.7285,-149.572,-163.5
LEFTLUNG,OBLIQUEFISSURE,64.7285,-140.111,-149
LEFTLUNG,OBLIQUEFISSURE,57.2949,-162.412,-178.5
LEFTLUNG,OBLIQUEFISSURE,57.2949,-148.896,-162
LEFTLUNG,OBLIQUEFISSURE,57.2949,-136.057,-144
LEFTLUNG,OBLIQUEFISSURE,49.1856,-150.924,-164
