Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-118.52,-156.845,-154.5
RIGHTLUNG,OBLIQUEFISSURE,-118.52,-142.735,-142
RIGHTLUNG,OBLIQUEFISSURE,-114.993,-168.014,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-114.993,-139.796,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-114.993,-122.159,-117.5
RIGHTLUNG,OBLIQUEFISSURE,-111.466,-185.063,-177
RIGHTLUNG,OBLIQUEFISSURE,-111.466,-170.366,-157
RIGHTLUNG,OBLIQUEFISSURE,-111.466,-126.274,-119
RIGHTLUNG,OBLIQUEFISSURE,-111.466,-113.341,-112
RIGHTLUNG,OBLIQUEFISSURE,-105.587,-197.409,-182
RIGHTLUNG,OBLIQUEFISSURE,-105.587,-181.536,-164
RIGHTLUNG,OBLIQUEFISSURE,-105.587,-145.087,-130.5
RIGHTLUNG,OBLIQUEFISSURE,-105.587,-108.05,-103.5
RIGHTLUNG,OBLIQUEFISSURE,-102.059,-187.415,-165.5
RIGHTLUNG,OBLIQUEFISSURE,-102.059,-148.026,-132
RIGHTLUNG,OBLIQUEFISSURE,-102.059,-106.874,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-102.059,-98.0555,-100
RIGHTLUNG,OBLIQUEFISSURE,-95.5927,-196.233,-169
RIGHTLUNG,OBLIQUEFISSURE,-95.5927,-176.833,-153.5
RIGHTLUNG,OBLIQUEFISSURE,-95.5927,-151.554,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-95.5927,-113.341,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-95.5927,-91.0008,-94.5
RIGHTLUNG,OBLIQUEFISSURE,-89.7138,-190.354,-162.5
RIGHTLUNG,OBLIQUEFISSURE,-89.7138,-173.306,-149
RIGHTLUNG,OBLIQUEFISSURE,-89.7138,-141.559,-125.5
RIGHTLUNG,OBLIQUEFISSURE,-89.7138,-120.395,-105
RIGHTLUNG,OBLIQUEFISSURE,-89.7138,-95.7039,-95
RIGHTLUNG,OBLIQUEFISSURE,-89.7138,-86.2976,-90
RIGHTLUNG,OBLIQUEFISSURE,-86.1864,-186.827,-159
RIGHTLUNG,OBLIQUEFISSURE,-86.1864,-169.778,-147
RIGHTLUNG,OBLIQUEFISSURE,-86.1864,-142.735,-127
RIGHTLUNG,OBLIQUEFISSURE,-86.1864,-123.923,-109.5
RIGHTLUNG,OBLIQUEFISSURE,-86.1864,-95.116,-94
RIGHTLUNG,OBLIQUEFISSURE,-86.1864,-83.9461,-87
