Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,109.412,-18.75,-198
LEFTLUNG,OBLIQUEFISSURE,109.412,3.90625,-182.375
LEFTLUNG,OBLIQUEFISSURE,109.412,18.75,-175.5
LEFTLUNG,OBLIQUEFISSURE,100.819,-19.5313,-198
LEFTLUNG,OBLIQUEFISSURE,100.819,7.8125,-176.125
LEFTLUNG,OBLIQUEFISSURE,100.819,24.2188,-164.25
LEFTLUNG,OBLIQUEFISSURE,93.0062,-10.1563,-194.25
LEFTLUNG,OBLIQUEFISSURE,93.0062,19.5313,-164.25
LEFTLUNG,OBLIQUEFISSURE,93.0062,32.8125,-153.625
LEFTLUNG,OBLIQUEFISSURE,93.0062,41.4063,-148
LEFTLUNG,OBLIQUEFISSURE,85.1937,-0.78125,-186.75
LEFTLUNG,OBLIQUEFISSURE,85.1937,29.6875,-153.625
LEFTLUNG,OBLIQUEFISSURE,85.1937,43.75,-143
LEFTLUNG,OBLIQUEFISSURE,76.6,5.46875,-184.875
LEFTLUNG,OBLIQUEFISSURE,76.6,30.4688,-146.75
LEFTLUNG,OBLIQUEFISSURE,76.6,51.5625,-129.25
LEFTLUNG,OBLIQUEFISSURE,66.4437,17.9688,-169.25
LEFTLUNG,OBLIQUEFISSURE,66.4437,45.3125,-131.75
LEFTLUNG,OBLIQUEFISSURE,66.4437,59.375,-114.25
LEFTLUNG,OBLIQUEFISSURE,56.2875,30.4688,-144.25
LEFTLUNG,OBLIQUEFISSURE,56.2875,57.8125,-108.625
LEFTLUNG,OBLIQUEFISSURE,56.2875,64.0625,-94.25
LEFTLUNG,OBLIQUEFISSURE,48.475,51.5625,-111.125
LEFTLUNG,OBLIQUEFISSURE,48.475,61.7188,-86.75
LEFTLUNG,OBLIQUEFISSURE,39.8812,50,-106.125
LEFTLUNG,OBLIQUEFISSURE,39.8812,59.375,-86.125
LEFTLUNG,OBLIQUEFISSURE,34.4125,51.5625,-99.875
LEFTLUNG,OBLIQUEFISSURE,34.4125,58.5938,-82.375
LEFTLUNG,OBLIQUEFISSURE,25.0375,47.6563,-94.25
LEFTLUNG,OBLIQUEFISSURE,25.0375,53.9063,-81.125
LEFTLUNG,OBLIQUEFISSURE,21.9125,49.2188,-86.75
LEFTLUNG,OBLIQUEFISSURE,21.9125,52.3438,-78.625
RIGHTLUNG,OBLIQUEFISSURE,-123.4,-7.8125,-181.125
RIGHTLUNG,OBLIQUEFISSURE,-123.4,23.4375,-166.75
RIGHTLUNG,OBLIQUEFISSURE,-123.4,46.875,-150.5
RIGHTLUNG,OBLIQUEFISSURE,-118.713,-1.5625,-179.875
RIGHTLUNG,OBLIQUEFISSURE,-108.556,14.8438,-171.75
RIGHTLUNG,OBLIQUEFISSURE,-108.556,50.7813,-137.375
