Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,127.893,-227.076,-310.5
LEFTLUNG,OBLIQUEFISSURE,127.893,-220.361,-284
LEFTLUNG,OBLIQUEFISSURE,127.893,-205.439,-256
LEFTLUNG,OBLIQUEFISSURE,127.893,-202.455,-235
LEFTLUNG,OBLIQUEFISSURE,127.893,-191.264,-217
LEFTLUNG,OBLIQUEFISSURE,127.893,-177.834,-195.5
LEFTLUNG,OBLIQUEFISSURE,127.893,-160.674,-182.5
LEFTLUNG,OBLIQUEFISSURE,132.369,-224.092,-299
LEFTLUNG,OBLIQUEFISSURE,132.369,-219.615,-277.5
LEFTLUNG,OBLIQUEFISSURE,132.369,-210.662,-261.5
LEFTLUNG,OBLIQUEFISSURE,132.369,-207.678,-241
LEFTLUNG,OBLIQUEFISSURE,132.369,-198.725,-224
UNDEFINEDREGION,UNDEFINEDTYPE,132.369,-183.803,-207
LEFTLUNG,OBLIQUEFISSURE,137.592,-221.854,-283.5
LEFTLUNG,OBLIQUEFISSURE,137.592,-215.885,-267.5
LEFTLUNG,OBLIQUEFISSURE,137.592,-213.646,-251
LEFTLUNG,OBLIQUEFISSURE,127.147,-227.076,-312.5
LEFTLUNG,OBLIQUEFISSURE,127.147,-221.854,-290
LEFTLUNG,OBLIQUEFISSURE,127.147,-210.662,-262.5
LEFTLUNG,OBLIQUEFISSURE,127.147,-202.455,-233
LEFTLUNG,OBLIQUEFISSURE,127.147,-186.787,-211
LEFTLUNG,OBLIQUEFISSURE,127.147,-171.865,-191.5
LEFTLUNG,OBLIQUEFISSURE,127.147,-158.436,-180.5
LEFTLUNG,OBLIQUEFISSURE,131.623,-222.6,-286.5
LEFTLUNG,OBLIQUEFISSURE,131.623,-212.9,-270.5
LEFTLUNG,OBLIQUEFISSURE,131.623,-209.17,-261.5
LEFTLUNG,OBLIQUEFISSURE,131.623,-205.439,-239.5
LEFTLUNG,OBLIQUEFISSURE,131.623,-192.01,-216
LEFTLUNG,OBLIQUEFISSURE,131.623,-181.564,-204
