Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,100.242,-1.79682,-182.375
LEFTLUNG,OBLIQUEFISSURE,100.242,18.7891,-157.375
LEFTLUNG,OBLIQUEFISSURE,100.242,44.8243,-121.75
LEFTLUNG,OBLIQUEFISSURE,100.242,64.8048,-91.125
LEFTLUNG,OBLIQUEFISSURE,100.242,76.9142,-72.375
LEFTLUNG,OBLIQUEFISSURE,109.324,-2.40229,-181.125
LEFTLUNG,OBLIQUEFISSURE,109.324,23.0274,-136.75
LEFTLUNG,OBLIQUEFISSURE,109.324,49.668,-99.25
LEFTLUNG,OBLIQUEFISSURE,109.324,64.1993,-86.125
LEFTLUNG,OBLIQUEFISSURE,96.004,4.86334,-179.25
LEFTLUNG,OBLIQUEFISSURE,96.004,22.4219,-161.75
LEFTLUNG,OBLIQUEFISSURE,96.004,42.4024,-128.625
LEFTLUNG,OBLIQUEFISSURE,96.004,58.1446,-103.625
LEFTLUNG,OBLIQUEFISSURE,96.004,65.4102,-83.625
LEFTLUNG,OBLIQUEFISSURE,96.004,73.2813,-74.25
LEFTLUNG,OBLIQUEFISSURE,88.7384,43.6134,-122.375
LEFTLUNG,OBLIQUEFISSURE,88.7384,53.9063,-108.625
LEFTLUNG,OBLIQUEFISSURE,88.7384,64.1993,-86.75
LEFTLUNG,OBLIQUEFISSURE,88.7384,75.0977,-70.5
LEFTLUNG,OBLIQUEFISSURE,76.629,52.0899,-130.5
LEFTLUNG,OBLIQUEFISSURE,76.629,61.7774,-102.375
LEFTLUNG,OBLIQUEFISSURE,76.629,70.254,-79.25
LEFTLUNG,OBLIQUEFISSURE,76.629,79.336,-63
LEFTLUNG,OBLIQUEFISSURE,67.547,69.0431,-101.75
LEFTLUNG,OBLIQUEFISSURE,67.547,72.6759,-79.875
LEFTLUNG,OBLIQUEFISSURE,67.547,85.3907,-58.625
LEFTLUNG,OBLIQUEFISSURE,57.254,59.961,-96.75
LEFTLUNG,OBLIQUEFISSURE,57.254,73.2813,-86.125
