Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,109.323,-174.628,-156.3
LEFTLUNG,OBLIQUEFISSURE,109.323,-164.327,-144.8
LEFTLUNG,OBLIQUEFISSURE,109.323,-148.876,-130.8
LEFTLUNG,OBLIQUEFISSURE,109.323,-143.153,-124.8
LEFTLUNG,OBLIQUEFISSURE,97.878,-204.386,-193.8
LEFTLUNG,OBLIQUEFISSURE,97.878,-187.79,-168.8
LEFTLUNG,OBLIQUEFISSURE,97.878,-164.899,-144.3
LEFTLUNG,OBLIQUEFISSURE,97.878,-139.72,-116.8
LEFTLUNG,OBLIQUEFISSURE,97.878,-124.841,-98.3
LEFTLUNG,OBLIQUEFISSURE,86.4326,-216.975,-233.8
LEFTLUNG,OBLIQUEFISSURE,86.4326,-201.524,-196.8
LEFTLUNG,OBLIQUEFISSURE,86.4326,-168.905,-145.8
LEFTLUNG,OBLIQUEFISSURE,86.4326,-129.419,-99.8
LEFTLUNG,OBLIQUEFISSURE,86.4326,-109.389,-76.3
LEFTLUNG,OBLIQUEFISSURE,68.1201,-204.386,-219.8
LEFTLUNG,OBLIQUEFISSURE,68.1201,-184.356,-185.8
LEFTLUNG,OBLIQUEFISSURE,68.1201,-170.05,-151.3
LEFTLUNG,OBLIQUEFISSURE,68.1201,-140.864,-109.3
LEFTLUNG,OBLIQUEFISSURE,68.1201,-121.407,-87.3
LEFTLUNG,OBLIQUEFISSURE,68.1201,-106.528,-64.8
LEFTLUNG,OBLIQUEFISSURE,68.1201,-105.956,-56.8
LEFTLUNG,OBLIQUEFISSURE,56.6748,-174.055,-166.8
LEFTLUNG,OBLIQUEFISSURE,56.6748,-161.466,-143.3
LEFTLUNG,OBLIQUEFISSURE,56.6748,-147.159,-118.3
LEFTLUNG,OBLIQUEFISSURE,56.6748,-145.442,-112.3
LEFTLUNG,OBLIQUEFISSURE,56.6748,-121.407,-85.3
LEFTLUNG,OBLIQUEFISSURE,56.6748,-108.245,-60.8
LEFTLUNG,OBLIQUEFISSURE,56.6748,-104.239,-52.3
LEFTLUNG,OBLIQUEFISSURE,56.6748,-107.1,-64.8
LEFTLUNG,OBLIQUEFISSURE,56.6748,-113.395,-74.3
LEFTLUNG,OBLIQUEFISSURE,48.6631,-146.587,-112.3
LEFTLUNG,OBLIQUEFISSURE,48.6631,-125.985,-89.3
LEFTLUNG,OBLIQUEFISSURE,48.6631,-105.384,-62.8
LEFTLUNG,OBLIQUEFISSURE,48.6631,-104.811,-47.8
LEFTLUNG,OBLIQUEFISSURE,48.6631,-147.159,-120.8
LEFTLUNG,OBLIQUEFISSURE,48.6631,-148.304,-132.8
LEFTLUNG,OBLIQUEFISSURE,38.9346,-142.009,-100.8
LEFTLUNG,OBLIQUEFISSURE,38.9346,-124.268,-83.3
LEFTLUNG,OBLIQUEFISSURE,38.9346,-111.678,-67.3
LEFTLUNG,OBLIQUEFISSURE,38.9346,-105.384,-50.3
LEFTLUNG,OBLIQUEFISSURE,22.3389,-123.124,-73.8
LEFTLUNG,OBLIQUEFISSURE,22.3389,-116.257,-62.3
LEFTLUNG,OBLIQUEFISSURE,22.3389,-113.395,-54.3
LEFTLUNG,OBLIQUEFISSURE,31.4951,-139.72,-95.8
LEFTLUNG,OBLIQUEFISSURE,31.4951,-123.696,-82.3
LEFTLUNG,OBLIQUEFISSURE,31.4951,-114.54,-67.8
LEFTLUNG,OBLIQUEFISSURE,31.4951,-107.673,-49.3
RIGHTLUNG,OBLIQUEFISSURE,-115.005,-192.94,-240.3
RIGHTLUNG,OBLIQUEFISSURE,-115.005,-171.766,-198.3
RIGHTLUNG,OBLIQUEFISSURE,-115.005,-154.026,-177.3
RIGHTLUNG,OBLIQUEFISSURE,-115.005,-133.997,-150.8
RIGHTLUNG,OBLIQUEFISSURE,-115.005,-116.829,-122.3
RIGHTLUNG,OBLIQUEFISSURE,-115.005,-109.962,-113.8
RIGHTLUNG,OBLIQUEFISSURE,-115.005,-101.95,-106.3
RIGHTLUNG,OBLIQUEFISSURE,-100.698,-189.507,-223.8
RIGHTLUNG,OBLIQUEFISSURE,-100.698,-169.477,-191.3
RIGHTLUNG,OBLIQUEFISSURE,-100.698,-146.014,-162.8
