Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,84.5249,-58.1836,-181.625
LEFTLUNG,OBLIQUEFISSURE,84.5249,-47.8711,-162.25
LEFTLUNG,OBLIQUEFISSURE,84.5249,-34.9805,-147.875
LEFTLUNG,OBLIQUEFISSURE,84.5249,-23.379,-138.5
LEFTLUNG,OBLIQUEFISSURE,84.5249,-12.4219,-129.75
LEFTLUNG,OBLIQUEFISSURE,77.4351,-71.0743,-210.375
LEFTLUNG,OBLIQUEFISSURE,77.4351,-59.4727,-186
LEFTLUNG,OBLIQUEFISSURE,77.4351,-47.2266,-162.875
LEFTLUNG,OBLIQUEFISSURE,77.4351,-34.336,-146.625
LEFTLUNG,OBLIQUEFISSURE,77.4351,-17.5782,-132.25
LEFTLUNG,OBLIQUEFISSURE,77.4351,-4.04304,-121.625
LEFTLUNG,OBLIQUEFISSURE,77.4351,6.91399,-115.375
LEFTLUNG,OBLIQUEFISSURE,70.3452,-65.2735,-201.625
LEFTLUNG,OBLIQUEFISSURE,70.3452,-52.3829,-175.375
LEFTLUNG,OBLIQUEFISSURE,70.3452,-31.1133,-144.125
LEFTLUNG,OBLIQUEFISSURE,70.3452,0.46868,-116.625
LEFTLUNG,OBLIQUEFISSURE,70.3452,13.3593,-109.75
LEFTLUNG,OBLIQUEFISSURE,70.3452,23.6718,-101.625
LEFTLUNG,OBLIQUEFISSURE,52.9429,-53.0274,-191.625
LEFTLUNG,OBLIQUEFISSURE,52.9429,-40.7813,-167.875
LEFTLUNG,OBLIQUEFISSURE,52.9429,-32.4024,-149.75
LEFTLUNG,OBLIQUEFISSURE,52.9429,-11.7774,-127.875
LEFTLUNG,OBLIQUEFISSURE,52.9429,10.1366,-108.5
LEFTLUNG,OBLIQUEFISSURE,52.9429,28.828,-92.25
LEFTLUNG,OBLIQUEFISSURE,52.9429,42.3632,-81
LEFTLUNG,OBLIQUEFISSURE,40.0523,-33.0469,-169.75
LEFTLUNG,OBLIQUEFISSURE,40.0523,-24.668,-149.75
