Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,121.479,-170.492,-198.5
LEFTLUNG,OBLIQUEFISSURE,121.479,-150.814,-189.5
LEFTLUNG,OBLIQUEFISSURE,121.479,-128.598,-178.5
LEFTLUNG,OBLIQUEFISSURE,117.036,-176.84,-205
LEFTLUNG,OBLIQUEFISSURE,117.036,-155.893,-193
LEFTLUNG,OBLIQUEFISSURE,117.036,-126.059,-178.5
LEFTLUNG,OBLIQUEFISSURE,117.036,-119.076,-175.5
LEFTLUNG,OBLIQUEFISSURE,110.688,-181.283,-215.5
LEFTLUNG,OBLIQUEFISSURE,110.688,-160.971,-196.5
LEFTLUNG,OBLIQUEFISSURE,110.688,-131.137,-183
LEFTLUNG,OBLIQUEFISSURE,110.688,-113.998,-172
LEFTLUNG,OBLIQUEFISSURE,110.688,-109.555,-169.5
LEFTLUNG,OBLIQUEFISSURE,102.436,-170.492,-213.5
LEFTLUNG,OBLIQUEFISSURE,102.436,-156.527,-198
LEFTLUNG,OBLIQUEFISSURE,102.436,-136.215,-185.5
LEFTLUNG,OBLIQUEFISSURE,102.436,-115.267,-170.5
LEFTLUNG,OBLIQUEFISSURE,102.436,-100.033,-163
LEFTLUNG,OBLIQUEFISSURE,96.7234,-161.605,-209
LEFTLUNG,OBLIQUEFISSURE,96.7234,-145.736,-192.5
LEFTLUNG,OBLIQUEFISSURE,96.7234,-110.824,-167.5
LEFTLUNG,OBLIQUEFISSURE,96.7234,-94.955,-158
LEFTLUNG,OBLIQUEFISSURE,91.6453,-154.623,-205
LEFTLUNG,OBLIQUEFISSURE,91.6453,-140.658,-190.5
LEFTLUNG,OBLIQUEFISSURE,91.6453,-112.728,-168
LEFTLUNG,OBLIQUEFISSURE,91.6453,-94.955,-154
LEFTLUNG,OBLIQUEFISSURE,91.6453,-91.1464,-151.5
LEFTLUNG,OBLIQUEFISSURE,85.9324,-145.736,-200
LEFTLUNG,OBLIQUEFISSURE,85.9324,-126.059,-180.5
