Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,61.2085,48.871,-94.625
LEFTLUNG,OBLIQUEFISSURE,61.2085,56.6054,-81.5
LEFTLUNG,OBLIQUEFISSURE,61.2085,67.5624,-62.125
LEFTLUNG,OBLIQUEFISSURE,61.2085,78.5194,-47.125
LEFTLUNG,OBLIQUEFISSURE,53.4741,55.3163,-84.625
LEFTLUNG,OBLIQUEFISSURE,53.4741,65.6288,-65.25
LEFTLUNG,OBLIQUEFISSURE,53.4741,77.8749,-42.75
LEFTLUNG,OBLIQUEFISSURE,45.7398,66.9179,-65.875
LEFTLUNG,OBLIQUEFISSURE,45.7398,70.7851,-54
LEFTLUNG,OBLIQUEFISSURE,45.7398,74.6523,-40.875
LEFTLUNG,OBLIQUEFISSURE,37.3609,67.5624,-54
LEFTLUNG,OBLIQUEFISSURE,37.3609,74.0077,-42.125
LEFTLUNG,OBLIQUEFISSURE,37.3609,74.6523,-35.25
LEFTLUNG,OBLIQUEFISSURE,28.3374,55.9609,-60.25
LEFTLUNG,OBLIQUEFISSURE,28.3374,65.6288,-57.75
LEFTLUNG,OBLIQUEFISSURE,28.3374,68.8515,-35.25
LEFTLUNG,OBLIQUEFISSURE,20.6031,57.8945,-54
LEFTLUNG,OBLIQUEFISSURE,20.6031,63.6952,-51.5
LEFTLUNG,OBLIQUEFISSURE,20.6031,66.2734,-34
LEFTLUNG,OBLIQUEFISSURE,16.7359,56.6054,-50.25
LEFTLUNG,OBLIQUEFISSURE,16.7359,62.4062,-48.375
LEFTLUNG,OBLIQUEFISSURE,16.7359,64.3398,-32.125
RIGHTLUNG,OBLIQUEFISSURE,-114.748,-9.13677,-116.5
RIGHTLUNG,OBLIQUEFISSURE,-114.748,5.04291,-99.625
RIGHTLUNG,OBLIQUEFISSURE,-114.748,18.5781,-91.5
RIGHTLUNG,OBLIQUEFISSURE,-108.303,-16.8711,-117.125
RIGHTLUNG,OBLIQUEFISSURE,-108.303,11.4882,-92.75
RIGHTLUNG,OBLIQUEFISSURE,-108.303,30.8241,-79.625
RIGHTLUNG,OBLIQUEFISSURE,-108.303,34.0468,-75.875
RIGHTLUNG,OBLIQUEFISSURE,-108.303,37.2695,-75.25
RIGHTLUNG,OBLIQUEFISSURE,-103.791,-0.113339,-102.125
RIGHTLUNG,OBLIQUEFISSURE,-103.791,12.1327,-90.25
RIGHTLUNG,OBLIQUEFISSURE,-103.791,29.5351,-79
RIGHTLUNG,OBLIQUEFISSURE,-103.791,37.914,-73.375
RIGHTLUNG,OBLIQUEFISSURE,-103.791,46.2929,-69
RIGHTLUNG,OBLIQUEFISSURE,-96.0571,-5.91412,-105.25
RIGHTLUNG,OBLIQUEFISSURE,-96.0571,19.8671,-85.875
RIGHTLUNG,OBLIQUEFISSURE,-96.0571,43.0702,-69
RIGHTLUNG,OBLIQUEFISSURE,-96.0571,50.1601,-63.375
RIGHTLUNG,OBLIQUEFISSURE,-96.0571,60.4726,-59
RIGHTLUNG,OBLIQUEFISSURE,-85.7446,0.531192,-102.75
RIGHTLUNG,OBLIQUEFISSURE,-85.7446,17.289,-87.125
RIGHTLUNG,OBLIQUEFISSURE,-85.7446,42.4257,-67.75
RIGHTLUNG,OBLIQUEFISSURE,-85.7446,55.3163,-59.625
RIGHTLUNG,OBLIQUEFISSURE,-85.7446,65.6288,-52.125
RIGHTLUNG,OBLIQUEFISSURE,-77.3657,2.46478,-100.875
RIGHTLUNG,OBLIQUEFISSURE,-77.3657,20.5117,-88.375
RIGHTLUNG,OBLIQUEFISSURE,-77.3657,32.1132,-79
RIGHTLUNG,OBLIQUEFISSURE,-77.3657,46.2929,-65.875
RIGHTLUNG,OBLIQUEFISSURE,-77.3657,62.4062,-54
RIGHTLUNG,OBLIQUEFISSURE,-77.3657,66.9179,-50.875
RIGHTLUNG,OBLIQUEFISSURE,-65.7641,6.9765,-104.625
RIGHTLUNG,OBLIQUEFISSURE,-65.7641,21.1562,-93.375
RIGHTLUNG,OBLIQUEFISSURE,-65.7641,39.2031,-76.5
RIGHTLUNG,OBLIQUEFISSURE,-65.7641,54.0273,-59.625
RIGHTLUNG,OBLIQUEFISSURE,-65.7641,68.2069,-47.75
RIGHTLUNG,OBLIQUEFISSURE,-54.8071,8.91009,-109
RIGHTLUNG,OBLIQUEFISSURE,-54.8071,25.0234,-98.375
RIGHTLUNG,OBLIQUEFISSURE,-54.8071,39.8476,-75.875
RIGHTLUNG,OBLIQUEFISSURE,-54.8071,52.7382,-60.875
RIGHTLUNG,OBLIQUEFISSURE,-54.8071,70.1405,-34.625
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-113.459,11.4882,-94
RIGHTLUNG,HORIZONTALFISSURE,-113.459,5.04291,-91.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-113.459,1.82025,-89
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-110.237,11.4882,-92.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-110.237,3.75385,-89.625
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-110.237,-4.62506,-87.125
RIGHTLUNG,OBLIQUEFISSURE,-107.014,10.1992,-92.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-107.014,2.46478,-88.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-107.014,-9.7813,-85.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-101.858,10.1992,-90.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-101.858,-1.4024,-86.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-101.858,-17.5157,-81.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.7016,11.4882,-90.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.7016,-0.113339,-85.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.7016,-22.6719,-85.875
